key,sw
step1,Andaa data ya kumbukumbu
1a,"Takwimu za kumbukumbu zinaweza kusasishwa kupitia Smartsheet na ina habari kamili juu ya viwango vya kiutawala vya jamii za uvuvi (nchi, mkoa, wilaya/manispaa, kijiji/jamii), maeneo ya kutua, wavuvi, wanunuzi, watoza data, data ya spishi, maeneo ya usimamizi, aina za makazi, aina za gia, na mashirika ya kushirikiana."
1b,Karatasi za data za kumbukumbu hutumiwa kujaza orodha za kushuka katika fomu za uchunguzi wa kobotoolbox na kujiunga na data ya ziada inayohitajika kwa uchambuzi kama vile kuratibu za kijiji na jinsia ya fisher.
1c,"Sasisha data ya kumbukumbu na spishi mpya, wavuvi, wanunuzi, tovuti za kutua, vijiji, nk. hiyo inahitajika kwa ukusanyaji wa data katika maeneo mapya. Maagizo maalum, ya hatua kwa hatua ya jinsi ya kusasisha faili za kumbukumbu Kwenye Smartsheet zinaweza kupatikana hapa."
1d,"Unapoongeza ingizo jipya, BFO hupokea arifa kiotomatiki, kwa hivyo hakuna haja ya kutoa maoni ili kutujulisha kuwa umeongeza data mpya. Tafadhali tujulishe, hata hivyo, ikiwa kiingilio kilichopo kinabadilika kwa kutoa maoni na kuelezea mabadiliko."
1e,Ni muhimu kwamba faili hizi zimesasishwa ili ukusanyaji wa data na uchambuzi uendeshe vizuri. Faili za kumbukumbu hupakiwa kwa kobo kila masaa 12-24.
step2,Weka Akaunti Ya KoboToolbox
2a,Uchunguzi wote ni kusimamiwa kwa njia ya matumizi ya fomu kobotoolbox. Kila moja ya fomu za uchunguzi zinaweza kushirikiwa na akaunti Ya KoboToolBox.
2b,Sanidi Akaunti yako Ya Kobo Toolbox kwenye seva ya jumla saa https://kf.kobotoolbox.org/accounts/signup/
2c,Tafadhali fikia timu Ya Bahari Isiyo Na Viatu na maelezo yako Ya Akaunti Ya Kobo na jina la mtumiaji ili fomu zinazofaa ziweze kushirikiwa na akaunti yako.
step3,Pakua Programu Ya KoboCollect.
3a,Aina Kobo inaweza kupatikana kupitia kobocollect Bure Android simu ya mkononi programu au kupitia Enketo mtandao fomu.
step4,Fomu za kupakia Katika Programu Ya Kobocollect. Angalia Kobo Kuanzisha kwa mwongozo wa ziada.
4a,"Mara tu programu inapopakuliwa, weka url ya seva, Jina la Mtumiaji, Na Nywila, ambayo inaunganisha programu yako Ya KoboCollect na seva ya kobotoolbox. Hii hukuruhusu kupakua fomu zilizotumwa kutoka KoboToolbox hadi kwenye kifaa chako cha rununu na pia kutuma data iliyokusanywa kupitia programu kurudi kwenye seva. KWA URL, tumia url ya seva ya matumizi ya jumla - https://kc.kobotoolbox.org."
4b,"Unaweza kufikia ""Mipangilio Ya Mradi"" kwa kubofya ikoni kwenye kona ya juu kulia ya skrini ya kwanza."
4c,"Kwenye skrini ya kwanza, chagua "" Pakua Fomu.”"
4d,"Orodha ya fomu zako zote za uchunguzi zilizotumiwa zinapaswa kuonekana. Bonyeza ""Chagua Zote"" ili fomu zote za uchunguzi zitumwe kwenye programu au uchague zile unazotaka kuwa nazo kwa kuzichagua wewe mwenyewe. Kisha, bofya "" Chagua.”"
4e,"Ni muhimu kwamba tafiti ni mara kwa mara updated kuhakikisha toleo la karibuni la fomu ni kutumika ili si kusababisha masuala katika bomba data. Wakati webform ni moja kwa moja updated wakati toleo jipya la utafiti inapatikana, watumiaji lazima configure ""auto-update"" katika programu. Unaweza kusanidi kusasisha kiotomatiki kwa kwenda kwenye ""Mipangilio "" na""usimamizi Wa Fomu""."
step5,Kusanya data na fomu Za uchunguzi Wa KoboToolBox
5a,"Kusanya data kwa kuchagua ""Anza Fomu Mpya"" katika programu Ya KoboCollect. Angalia maelekezo ya kina juu ya kukusanya data kwa kutumia programu Katika Kobo Kuanzisha."
5b,"Mwisho wa utafiti, chagua "" Maliza.""Ikiwa unataka kuhariri fomu kabla ya kuwasilisha, chagua"" Hifadhi kama rasimu.""Ikiwa umechagua"" Hifadhi kama rasimu, ""fomu yako itatumwa kwa"" Rasimu.""Hapa, unaweza kufanya mabadiliko kwa fomu kabla ya kuziwasilisha kwenye hifadhidata ya mwisho. Baada ya kufanya mabadiliko, chagua ""Maliza,"" kama ilivyoelezwa hapo juu. Baada ya kuchagua ""Finalize,"" fomu ni moja kwa moja kuhifadhiwa chini ya ""Tayari kutuma.""Katika toleo la Sasa La Kobo, bado unaweza kuhariri fomu hapa. Katika siku zijazo, hata hivyo, hautaweza kuhariri mara tu watakapokamilika, na ""Tayari kutuma"" itakuwa tu mahali pa kushikilia kuhifadhi fomu zilizokamilishwa hadi uwe na unganisho la mtandao kuzituma kwa seva. Chagua ""Tuma kuchaguliwa"" kutuma fomu zote kwa seva."
5c,Takwimu zilizokusanywa kwa kutumia programu au fomu ya wavuti zitasafishwa na kuhifadhiwa katika mfumo mkuu wa kuhifadhi data. Takwimu mbichi zimehifadhiwa kwenye hifadhidata ya KoboToolbox.
step6,Thibitisha data Katika Smartsheet
6a,Takwimu zote zinazotiririka kupitia mfumo wa data ya uvuvi zinathibitishwa Katika Smartsheet. Mwongozo kamili wa maagizo ya hatua kwa hatua ya kukamilisha mchakato huu unapatikana kwenye ukurasa wa Uthibitishaji Wa Data.
6b,"Takwimu hutumwa kwa uthibitisho chini ya hali mbili; 1) majina mapya kwa mvuvi, mnunuzi, mkusanyaji wa data au spishi huongezwa kwa Mikono Katika Kobo Kukusanya, au 2) thamani ya nambari iko zaidi ya vizingiti vilivyowekwa. Maingizo haya lazima yathibitishwe kabla ya kujumuishwa kwenye hifadhidata ya mwisho, kuonyeshwa kwenye dashibodi, na kuongezwa kwenye faili za kumbukumbu."
6c,Majina yoyote mapya au data iliyowekwa alama hutumwa kwa jedwali la udhibiti wa ubora (QA) katika Smartsheet kwa timu za uwanja kuthibitisha. Jedwali la kudhibiti ubora ni maalum kwa wenzi na linaweza kupatikana kupitia maombi ya sasisho yaliyotumwa kwa barua pepe yako au kwa kutembelea viungo Vya Mtazamo Wa Nguvu uliyopewa. Uongozi wa timu ya shamba utaarifiwa kupitia barua pepe wakati data inahitaji kuthibitishwa katika meza ZA QA.
6d,"Kuthibitisha majina mapya: wakati jina jipya ni aliingia wakati wa ukusanyaji wa data, enties hizi ni moja kwa moja msalaba-referenced dhidi ya files rejea kutathmini kama enties mpya inaweza tayari kuwepo katika files rejea, lakini labda spelled tofauti. Maingizo yoyote yanayofanana yaliyopo yataongezwa kwenye jedwali LA QA chini ya safu wima za"" ref_match"". Timu inaongoza inaweza kisha kwa urahisi kuthibitisha kama"" mpya "" data ni kweli tayari katika faili za kumbukumbu. Timu inaongoza kukamilisha ""validation_options"" safu katika kila meza QA kwa kuchagua ama new_datae, msalaba-referenced data kuingia kutoka faili ya kumbukumbu (yaani ""ref_match""), nyingine, au kuondoa. Ikiwa ""nyingine"" imechaguliwa, lazima utoe jina kwenye safu ya ""nyingine"". Ikiwa ni jina jipya la spishi za kienyeji ambalo linahitaji kuthibitishwa, safu iliyo na picha iliyopigwa wakati wa ukusanyaji wa data itatolewa kwa kumbukumbu."
6e,"Kuthibitisha maadili ya nambari na maonyo ya kizingiti: kwa viingilio vyovyote vya data vilivyowekwa alama, timu inaongoza itakamilisha uthibitisho wa data kwenye safu ""sahihi"" kwa kuchagua Y (ndio, maadili ni sahihi), N (hapana, maadili sio sahihi), au ondoa (data haiwezi kuthibitishwa na inapaswa kuondolewa kutoka kwa hifadhidata kuu). Ikiwa hapana imechaguliwa, maadili sahihi ya nambari au dhehebu yanapaswa kuingizwa kwenye safu wima za ""correct_numerator"" na ""correct_denominator""."
6f,"Mara tu data itakapothibitishwa kwenye meza ZA QA, tutaongeza habari mpya kwenye faili ya kumbukumbu na kutoa marekebisho muhimu kwa hifadhidata kuu."
step7,Mwisho tafsiri karatasi
7a,"Tafsiri kwa lugha zote zinakamilishwa kwa kuhariri karatasi zinazofaa Katika Smartsheet. Ikiwa tafsiri mpya zinahitajika, timu Ya Barefoot itatoa maoni na kugawa kazi kwa uongozi wa timu ya nchi."
step8,Taswira na utumie data
8a,Uchambuzi wa kiotomatiki na taswira zitapatikana kupitia dashibodi sanifu. Seti za data pia zitapatikana kupitia upakuaji kwenye dashibodi au kiunga cha moja kwa moja kwenye hifadhidata nyingine.
p7,Tafadhali tujulishe ikiwa una maswali yoyote.
p8,Asante!
