key,id
p28,Semua data saat ini disetel ke Level 1-Pribadi. Pengguna akan memiliki kesempatan untuk menyesuaikan tingkat izin mereka sesuai kebutuhan.
level1,Tingkat 1-Pribadi
point36,Data hanya untuk tujuan internal kontributor data asli.
point37,Data akan tersedia untuk diunduh oleh kontributor data asli.
point38,Data tidak akan disertakan dalam analisis regional yang disediakan di dasbor.
point39,Dilarang keras membagikan atau mendistribusikan data secara tidak sah kepada pihak eksternal.
level2,Level 2-Berbagi dengan Kontributor Data Lainnya
point40,Data tingkat perjalanan tersedia untuk diunduh oleh kontributor data lainnya.
point41,Ringkasan dan visualisasi data akan tersedia untuk kontributor data lainnya.
point42,Data akan dimasukkan dalam analisis regional di dasbor.
level3,Level 3-Berbagi dengan Semua Pengguna
point43,Data tingkat perjalanan tersedia untuk diunduh semua pengguna.
point44,Ringkasan dan visualisasi data akan tersedia untuk semua pengguna.
point45,Data akan dimasukkan dalam analisis regional di dasbor.
point46,Kontributor data asli dapat menentukan batasan atau ketentuan penggunaan apa pun yang berlaku untuk semua pengguna.
newdata,Memvalidasi Data Baru dan yang Ditandai
p29,"Dalam survei, beberapa pertanyaan memungkinkan pencacah untuk menambahkan nelayan baru, pembeli, pengumpul data, lokasi pendaratan, spesies, atau ""lainnya.""Informasi dari opsi ini adalah titik data baru dan harus menjalani verifikasi sebelum didorong ke kumpulan data akhir, divisualisasikan di dasbor, dan ditambahkan ke file referensi. Ada juga batasan yang ditetapkan pada berat, harga, dan panjang suatu spesies, dan jika data yang dikumpulkan di bawah atau di atas batasan ini, nilai-nilai ini ditandai untuk ditinjau. Batasan berat dan harga ditetapkan oleh mitra dalam min_max_ref. Batasan panjang spesies ditetapkan oleh tim Barefoot Ocean menggunakan parameter biologis."
p30,"Semua data yang mengalir melalui sistem data perikanan divalidasi dalam Smartsheet. Salah satu entri baru atau yang ditandai ini dikirim ke tabel kontrol kualitas (QA) di Smartsheet untuk divalidasi oleh tim lapangan. Tabel kontrol kualitas khusus untuk mitra dan dapat diakses melalui permintaan pembaruan yang dikirim ke email Anda atau dengan mengunjungi tautan Tampilan Dinamis yang disediakan untuk Anda. Prospek tim lapangan akan diberi tahu melalui email saat data perlu divalidasi dalam tabel QA. Setelah data diverifikasi dalam tabel QA, kami akan menambahkan informasi baru ke file referensi dan memberikan koreksi yang diperlukan pada kumpulan data master."
p31,Petunjuk langkah demi langkah khusus tentang cara menyelesaikan validasi data di Smartsheet dapat ditemukan di halaman Validasi Data.
datacol,Pengumpulan Data
p32,"Barefoot Ocean mengelola semua survei melalui formulir Kobo Toolbox yang dapat dibagikan melalui akun Kobo Toolbox. Anda dapat membuat akun di https://kf.kobotoolbox.org/accounts/signup/. Silakan hubungi tim Barefoot Ocean dengan nama pengguna dan detail akun Anda. Setelah survei dibagikan, akses formulir Kobo melalui aplikasi ponsel Android gratis KoboCollect atau melalui formulir web Enketo. Petunjuk terperinci tentang menyiapkan akun Kobo, mengumpulkan data, dan mengirimkan data dapat ditemukan di halaman Penyiapan Kobo. Gunakan kode QR untuk mengonfigurasi semua perangkat setelah menyiapkan ponsel atau tablet pertama secara manual untuk menyiapkan beberapa ponsel atau tablet dalam satu akun pengumpulan data. Pengaturan manual perangkat pertama memerlukan URL server Kobo, nama pengguna, dan kata sandi. URL server Kobo adalah https://kc.kobotoolbox.org. Informasi lebih lanjut tentang pengaturan pengumpulan data dengan Kobo, termasuk cara mengonfigurasi beberapa perangkat pengumpulan data melalui kode QR, dapat ditemukan di https://support.kobotoolbox.org/."
p33,"Setelah Anda mengunduh KoboCollect, buka aplikasi dan masukkan URL server, nama pengguna, dan kata sandi untuk menghubungkan aplikasi KoboCollect Anda ke server KoBoToolbox. Menghubungkan aplikasi KoboCollect ke server KoBoToolbox memungkinkan Anda mengunduh formulir yang diterapkan dari KoBoToolbox ke perangkat seluler Anda dan mengirim data yang dikumpulkan melalui aplikasi kembali ke server. Di layar beranda, pilih ""Dapatkan Formulir Kosong.""Daftar semua formulir survei yang Anda gunakan akan muncul. Tekan ""Pilih Semua"" agar semua formulir survei dikirim ke aplikasi, atau pilih formulir yang ingin Anda miliki dengan memilihnya secara manual. Kemudian klik ""Terpilih.""Untuk menerapkan survei, pilih"" Isi Formulir Kosong.”"
p34,"Meskipun formulir web diperbarui secara otomatis saat versi survei baru tersedia, pengguna harus mengonfigurasi sendiri ""pembaruan otomatis"" di aplikasi. Memperbarui survei di aplikasi secara teratur memastikan penggunaan formulir versi terbaru dan tidak menyebabkan masalah alur data. Anda dapat mengatur pembaruan otomatis di aplikasi dengan membuka ""Pengaturan ""dan"" Manajemen Formulir.""Informasi lebih lanjut tentang memperbarui survei secara otomatis di aplikasi dapat ditemukan di halaman Pengaturan Kobo. Penting untuk diperhatikan bahwa koneksi diperlukan agar aplikasi dapat menarik versi survei terbaru, bahkan dengan pengaturan pembaruan otomatis diaktifkan. Oleh karena itu, sarankan pencacah untuk memiliki koneksi internet sebelum melakukan pekerjaan lapangan sehingga KoboCollect dapat menarik versi terbaru."
p35,"Setelah mengumpulkan data, survei yang dikirimkan melalui formulir web akan dikirimkan secara otomatis ke server setelah pengumpul data menekan tombol ""Kirim"". Data yang dikumpulkan melalui aplikasi KoboCollect pertama kali disimpan di aplikasi di tempat penyimpanan dan kemudian didorong ke server. Survei yang telah selesai tetap ditahan sebelum dikirimkan ke server sehingga pengumpul data dapat mengedit survei setelah mengumpulkan data, atau jika tidak ada koneksi internet, aplikasi dapat menyimpan survei dan kemudian mendorong survei ke server setelah ada konektivitas internet. Secara khusus, saat survei selesai, pengguna akan menekan ""Simpan formulir dan keluar"", memastikan bahwa"" Tandai formulir sebagai selesai "" juga dicentang. ""Edit Formulir Tersimpan"" secara otomatis menyimpan formulir yang disimpan. Pengumpul data dapat membuat perubahan yang diperlukan dan memilih ""Simpan Formulir dan Keluar.""Layar beranda juga memiliki tombol bernama"" Kirim Formulir yang Telah Diselesaikan.""Tekan Pilih Semua (atau pilih yang ingin Anda unggah) lalu tekan"" Kirim yang Dipilih.""Pilih"" Lihat Formulir Terkirim"" untuk memastikan berhasil mengunggah formulir dan Anda sekarang dapat melihat semua formulir yang dikirimkan."
p36,"Sistem penyimpanan data pusat terhubung ke data Kobo, dan analisis serta visualisasi otomatis akan tersedia melalui dasbor standar. Data mentah dicadangkan dalam basis data KoBoToolbox dan akan tersedia melalui unduhan atau tautan langsung ke basis data atau gudang data lain."
translations,Terjemahan
p37,"Terjemahan untuk semua bahasa diselesaikan dengan mengedit lembar terjemahan di Smartsheet. Jika Anda menemukan bahwa terjemahan perlu diperbarui atau salah dalam survei, harap langsung perbarui terjemahan yang sesuai di lembar Smartsheet yang sesuai. Jika tim Barefoot Ocean membutuhkan terjemahan baru, mereka akan berkomentar dan menugaskan tugas tersebut kepada pimpinan tim country."
ref,File Referensi
p38,"File referensi bersifat khusus mitra atau negara dan berisi informasi lengkap tentang tingkat administrasi komunitas nelayan (negara, provinsi, kabupaten, desa), lokasi pendaratan, nelayan, pembeli, pengumpul data, data spesies, wilayah pengelolaan, jenis habitat, jenis peralatan, dan organisasi mitra. Beberapa informasi mengisi daftar tarik-turun dalam survei, dan beberapa digabungkan ke kumpulan data master setelah data dikumpulkan. Informasi baru harus ditambahkan langsung ke lembar referensi."
p39,Petunjuk langkah demi langkah khusus tentang cara memperbarui file referensi di Smartsheet dapat ditemukan di halaman File Referensi.
appendixa,Lampiran A: Panduan Diskusi Kelompok Fokus
p40,Pertimbangan penting sebelum melakukan profil atau survei perikanan
p41,Hubungan dan kepercayaan
p42,"Membangun relasi dan mendapatkan kepercayaan dari masyarakat merupakan langkah awal yang penting sebelum menanyakan informasi perikanan. Langkah pertama untuk membangun hubungan dan mendapatkan kepercayaan masyarakat adalah memperkenalkan diri Anda, organisasi Anda, dan tujuan melakukan profil perikanan."
p43,Persiapan
p44,"Persiapan penting dalam menjalankan setiap metode survei, karena persiapan yang baik akan membuat Anda yakin akan efektivitas setiap metode yang Anda terapkan."
p45,Waktu untuk mengumpulkan informasi
p46,Sesuaikan waktu pelaksanaan setiap metode dengan waktu calon responden atau kelompok masyarakat yang dituju.
p47,Responden
p48,"Memahami calon responden yang akan Anda temui selama pembuatan profil perikanan sangat penting untuk melakukan survei. Kelompok atau individu yang akan mengikuti survei harus menerima pemberitahuan terlebih dahulu. Oleh karena itu, memperkenalkan tokoh masyarakat yang berpengaruh harus menjadi bagian dari pekerjaan pra-survei."
p49,Logistik
p50,Setiap metode memiliki kebutuhan logistik dan material. Pastikan bahwa sumber daya dan peralatan yang dibutuhkan untuk setiap metode pembuatan profil perikanan telah disiapkan.
p51,Daftar kontak orang kunci
p52,Simpan daftar kontak orang kunci di ponsel Anda dan juga miliki versi cetak untuk dicadangkan.
p53,Kesehatan dan keselamatan
p54,Pastikan Anda berada dalam kondisi yang baik untuk melakukan profil perikanan. Bawalah perlengkapan pertolongan pertama yang penting.
p55,Panduan Diskusi Kelompok Fokus
p56,"Berikut ini berisi panduan dan rekomendasi untuk melakukan kelompok fokus untuk menangkap informasi profil komunitas. Dianjurkan untuk mengadakan sesi kelompok fokus untuk mendorong dialog, menangkap keragaman pendapat, dan mulai membangun hubungan dengan anggota komunitas yang penting. Namun, jika kelompok fokus tidak memungkinkan, survei profil komunitas dapat dilakukan sebagai wawancara individu dengan pemangku kepentingan penting menggunakan formulir Kobo ""Survei Profil Komunitas"". Secara keseluruhan, tujuan dari latihan profil komunitas, baik dalam format kelompok fokus atau wawancara individu, adalah untuk memahami lanskap umum komunitas dan perikanan yang beroperasi di dalam komunitas."
p57,Sebelum melakukan focus group
p58,"Sebelum menjadi tuan rumah kelompok fokus profil perikanan formal, disarankan untuk melakukan percakapan informal dan observasi partisipan. Metode ini berarti meluangkan waktu, membangun relasi, dan memahami perikanan dengan menggunakan percakapan informal dan observasi partisipan."
p59,"Percakapan informal penting untuk lebih memahami konteks perikanan secara umum sebelum melakukan diskusi kelompok terfokus. Gunakan metode ini sebagai salah satu titik tolak untuk merumuskan isi focus group discussion. Metode ini akan memungkinkan Anda untuk mengenal komunitas perikanan, mulai membangun hubungan, dan mendapatkan kepercayaan."
p60,Kiat yang disarankan untuk melakukan percakapan informal:
tip1,"Hormati perbedaan budaya. Patuhi norma-norma sosial seperti sapaan yang dapat diterima, aturan berpakaian, dan menghormati praktik keagamaan. Bersikaplah sopan, rendah hati, dan dengarkan pendapat pemangku kepentingan tanpa memaksakan pendapat Anda sendiri. Tetap berada dalam komunitas, membangun hubungan baik, dan berbagi makanan dapat membantu membangun kepercayaan."
tip2,"Habiskan waktu bersama para pemangku kepentingan. Tidak ada jalan pintas untuk mendapatkan kepercayaan dan dukungan. Apalagi di dalam komunitas itu bagus untuk dilihat, menghabiskan waktu di desa-desa dan bertemu orang-orang. Bersiaplah untuk membahas isu-isu yang lebih luas di dalam komunitas. Jangan mencoba memaksakan satu agenda tertentu."
tip3,"Gunakan bahasa lokal jika memungkinkan, kecuali jika bahasa umum dapat diakses. Jika tidak, gunakan penerjemah. Berhati-hatilah terhadap kesalahan dalam penerjemahan. Pemeriksaan silang terjemahan antara lebih dari satu juru bahasa dapat membantu mengurangi salah tafsir."
tip4,"Jangan membuat janji yang tidak bisa ditepati. Jelaskan tujuan dan hasil yang diharapkan tanpa meningkatkan ekspektasi. Hal ini penting untuk ditegaskan sejak dini agar masyarakat memiliki pemahaman yang jelas tentang peran mitra teknis, yaitu memfasilitasi penutupan perikanan gurita, bukan menggali sumur atau memperbaiki sekolah. Penting untuk memastikan semua orang mengetahui apa yang dapat dan tidak dapat dilakukan organisasi dalam komunitas. Memastikan ekspektasi yang realistis membantu meminimalkan kekecewaan, keluhan, dan konflik saat proyek berlangsung."
tip5,Komunikasikan rencana dan kegiatan secara luas. Pastikan setiap rapat atau kegiatan direncanakan sebelumnya dan pada waktu dan lokasi yang disepakati bersama untuk memaksimalkan kehadiran. Pastikan setiap perubahan dalam rencana dan kegiatan dikomunikasikan sedini mungkin. Tepat waktu dan berpegang teguh pada kesepakatan membantu membangun kepercayaan dan kepercayaan di antara para pemangku kepentingan.
