key,sw
p8,"Uchunguzi Wa Ufuatiliaji Wa Kutua unapaswa kufanywa kila siku au mara nyingi iwezekanavyo. Fanya Tafiti Za Ufuatiliaji Wa Kutua kabla na baada ya utekelezaji ili kutathmini athari za kufungwa kwa uvuvi au mikakati mingine ya usimamizi. Tunapendekeza kukusanya data siku 30 kabla na baada ya vipindi vya kufungwa kwa muda. Kwa siku saba za kwanza za vipindi vya sampuli, tunapendekeza kwamba wahesabu wafanye Tafiti za Ufuatiliaji Wa Kutua kila siku. Ikiwezekana, endelea ufuatiliaji wa kila siku kwa kipindi chote cha siku 30. Ikiwa hii haiwezekani, chunguza angalau 80% ya siku ndani ya kila siku 30. Tunapendekeza pia kuchunguza 80% au zaidi ya samaki wote wanaotua samaki siku fulani kabla au baada ya kufungwa. Sambaza juhudi za uchunguzi wa mwakilishi kati ya wavuvi wa mashua na wavuvi wasio wa mashua. Kusanya data kutoka kwa wavuvi wote wanaotua kijijini, bila kujali kama walikuwa wakivua ndani ya tovuti ya kufungwa au la."
p9,"Kwa kufungwa kwa muda mrefu, hakikisha kwamba data hukusanywa wakati wa mwezi huo huo kwa kila mwaka ili kunasa mabadiliko katika kipindi cha kufungwa. Ikiwa hiyo haiwezekani, tunapendekeza kukusanya data wakati wa mwezi huo huo kabla na baada ya kufungwa. Kama ilivyoelezwa hapo juu, tunapendekeza uchunguzi angalau 80% ya siku ndani ya mwezi na 80% ya wavuvi wanaotua samaki kila siku."
p10,"Kutumia Fomu Ya Kobo, kutana na wavuvi kwenye maeneo ya kutua/nyumba za wanunuzi kurekodi samaki wao."
lps,Kutua Profiling Utafiti
p11,Kuelewa mwenendo wa kukamata.
point18,Tarehe imefika
point19,Mahali pa kutua
point20,Msingi wa uvuvi
point21,Jina la mfanyabiashara wa samaki
point22,Jina la Fisher
point23,Jitihada za uvuvi (masaa na siku uvuvi/gleaning)
point24,"Aina ya chombo (nambari ya usajili wa mashua, nambari ya wafanyakazi)"
point25,"Utambulisho wa spishi (majina ya kawaida, ya kawaida, ya kisayansi)"
point26,Gia kutumika
point27,Mazingira ya uvuvi
point28,Jumla ya hesabu
point29,Jumla ya uzito
point30,Jumla ya bei
point31,"Sababu jumla catch si kuuzwa, kama inatumika"
point32,Sampuli za uzito na urefu wa mtu binafsi (Takwimu 2-8)
point33,"Data ya sampuli maalum ya mwenzi (ngono, ubora wa kukamata, gonads, stylet, # mitego, nk.)"
p12,"Mfano wa mwakilishi wa kukamata ndani ya jamii. Rekodi angalau sampuli 50 (haswa 100) kwa kila spishi inayolengwa, inayowakilisha aina anuwai za gia na wasifu wa wavuvi."
p13,"Utafiti huu unapaswa kufanyika mwanzoni mwa ushiriki katika jamii na baadaye kufanywa kila baada ya miaka miwili, kabla na baada ya kutekeleza mkakati wa usimamizi, au kama inahitajika kuelezea kupungua kwa kuchunguza kupitia data ya ufuatiliaji. Kwa kutumia Fomu Ya Kobo, kutana na wavuvi kwenye maeneo ya kutua ili kuchukua sampuli ya samaki wao na kurekodi shughuli zao za uvuvi."
p14,"Kwa kutumia Fomu Ya Kobo, kutana na wavuvi kwenye maeneo ya kutua ili kuchukua sampuli ya samaki wao na kurekodi shughuli zao za uvuvi."
ms,Usanifishaji wa kipimo: Aina Ya Urefu wa kupima na kikundi cha spishi
fig2,"Kielelezo 2: urefu wa Jumla unapaswa kutumiwa kupima finfish, papa na eels (AFS)."
fig3,Kielelezo 3: Upana wa diski inapaswa kutumika kupima mionzi na skates.
fig4,"Kielelezo 4: upana Wa Carapace unapaswa kutumika wakati wa kupima kaa (Suryandari et. al, 2018)."
fig5,Kielelezo 5: Urefu Wa Vazi unapaswa kutumika wakati wa kupima pweza na ngisi (fao).
fig6,Kielelezo 6: urefu Wa Carapace unapaswa kutumika wakati wa kupima kamba na kamba (Hart et al. 2001).
fig7,Kielelezo 7: Urefu unapaswa kutumika wakati wa kupima bivalves na gastropods.
fig8,Kielelezo 8: urefu wa jumla unapaswa kutumika wakati wa kupima matango ya bahari. Upana au kipenyo cha mtihani kinapaswa kutumika wakati wa kupima urchins za bahari.
dfo,Muhtasari Wa Mtiririko Wa Data
p15,"Bahari ya Barefoot inachunguza na kuchambua uvuvi muhimu na data ya kijamii na kiuchumi inayomilikiwa na mashirika ya ushirikiano kupitia kushiriki data. Kwa maneno mengine, washirika wanamiliki data, Na Bahari Isiyo Na Viatu huisindika. Ukusanyaji wa Data, uthibitisho, mabadiliko, na taswira ni sehemu nne kuu za Mfumo Wa Data Ya Bahari Ya Barefoot. Programu za msingi zinazotumiwa ni KoboToolBox, Smartsheet, PostgreSQL, Na R."
p16,"KoboToolBox ni programu ya bure na ya chanzo wazi ambayo ni zana yenye nguvu ya ukusanyaji wa data inayopatikana kupitia mazingira magumu na majukwaa mengi, kama vifaa vya rununu, kompyuta, na karatasi. Enumerators kukusanya data juu ya hali ya kijamii na kiuchumi na kiikolojia muhimu kutathmini jamii za uvuvi na hadhi kupitia Bahari Ya Barefoot kobotoolbox survey maswali. Smartsheet ni jukwaa la usimamizi wa kazi ya ushirikiano ambayo hutoa interface rahisi na intuitive kwa mashirika ya kupanga, kufuatilia, automatiska, na kusimamia miradi mbalimbali na michakato katika muda halisi. Faili za kumbukumbu ambazo hutumiwa kujaza fomu za uchunguzi na kuunganisha data ya ziada kwa seti za data kuu zinasimamiwa Katika Smartsheet. Aidha, data ni kuthibitishwa katika Smartsheet. PostgreSQL ni bure na wazi chanzo database mfumo wa usimamizi kutumika kama ghala data kwa ajili ya mtandao wengi, analytics, na maombi geospatial wakati kuhifadhi data unstructured na muundo katika bidhaa moja. R ni mazingira ya programu ya bure na ya chanzo wazi na lugha ya programu inayotumiwa sana kwa sayansi ya data, kompyuta ya takwimu, na taswira ya data. Data dashibodi ni kujengwa kwa kutumia mfuko Shiny Kutoka lugha ya programu R na mwenyeji juu ya shinyapps.io, jukwaa kama huduma (PaaS) kwa ajili ya mwenyeji shiny web apps (maombi)."
fig9,Kielelezo 9: Mchoro Wa Mtiririko Wa Data Ya Bahari Isiyo Na Viatu.
p17,"Ukusanyaji wa Data unahusisha kukusanya na kupima habari kwa utaratibu kutoka vyanzo husika juu ya vigezo vya riba kwa ajili ya kufanya maamuzi, mipango ya kimkakati, tathmini ya matokeo, na madhumuni mengine. Kwa kuingiza data ya upimaji na ubora katika dodoso za uchunguzi, Bahari Ya Barefoot inazingatia tafiti za njia mchanganyiko katika mchakato wa ukusanyaji wa data ili kukuza uelewa wa kina zaidi wa hali ya kijamii na kiuchumi na kiikolojia inayohusiana na jamii za uvuvi na mikakati ya usimamizi inayofaa. Uthibitisho wa Data inahusu kutumia mbinu za kupima hali ya data zilizokusanywa na kuamua kama data zilizokusanywa hukutana na vigezo vya ubora maalum, kama vile usahihi, uthabiti, umuhimu, ukamilifu, na kipekee. Data mabadiliko hubadilisha, kusafisha, na miundo data ghafi katika muundo usable ambayo inaweza kuchambuliwa na kutathminiwa kwa ajili ya kufanya maamuzi. Uchambuzi wa Data na taswira inahusisha kubuni na kujenga graphics kupatikana au maonyesho ya kuona ya habari kwa ufanisi kuwasiliana data tata ubora na upimaji awali zilizokusanywa, kuthibitishwa, na kubadilishwa katika watazamaji lengo. Tumeelezea mchakato wa mtiririko wa data hapa chini:"
step1,Takwimu hukusanywa kupitia fomu Za uchunguzi Wa KoboToolBox.
step2,Takwimu huvutwa kwenye hifadhidata Ya Bahari Ya Barefoot.
step3,"Kama enumerator kuchaguliwa kabla ya watu jibu uchaguzi katika tafiti, data haina haja ya kuthibitishwa na inaweza moja kwa moja kwenda kwa uchambuzi wa data na mchakato wa taswira."
step4,"Kama enumerator manually huingia data kama vile mpya fisher, mnunuzi, data mtoza, kutua tovuti, au aina, data ni kuthibitishwa katika Smartsheet kabla ya kuwa ni pamoja na katika meza ya mwisho data na visualized katika dashibodi. Field timu inaongoza ni taarifa kupitia barua pepe wakati data ni tayari kwa ajili ya uthibitisho. Viongozi wa timu wataangalia kwa mikono meza za kudhibiti ubora ili kudhibitisha kuwa habari mpya iliyoongezwa ni halali."
step5,"Baada ya uthibitisho, data mpya ni kusukuma kwa wote files rejea na nyuma ya database kwa ajili ya mabadiliko ya mwisho kabla ya uchambuzi na visualization."
step6,"Mara data ni kusukuma kwa faili za kumbukumbu, timu inaongoza itakuwa taarifa kupitia barua pepe kama taarifa yoyote ya ziada inahitajika katika faili za kumbukumbu."
step7,Updated kumbukumbu files ni kisha uploaded kwa kobotoolbox jukwaa kwa ajili ya kuingizwa katika fomu.
step8,Data Updated kutoka faili za kumbukumbu pia kutumika katika mchakato wa mabadiliko ya data kujiunga na maeneo ya ziada ya data kama vile kuratibu na jinsia.
step9,Hatua za mwisho za mchakato wa mabadiliko ya data husababisha meza kuu za data ambazo hutumiwa kwa uchambuzi wa data na taswira kwenye dashibodi za data.
step10,"Dashibodi za Data (yaani programu Zinazong'aa) huunganisha moja kwa moja kwenye hifadhidata, na kuvuta data iliyosasishwa zaidi inayopatikana, na hivyo kutoa washirika karibu na ufikiaji wa haraka wa data mbichi na iliyofupishwa."
datasecurity,Usalama Wa Data
p18,Chini ni orodha ya majukwaa ya programu ambapo data inaweza kuhifadhiwa na kuhamishwa katika transit kutoka database. Habari ya usalama wa Data kwa kila jukwaa la nje inapatikana kwenye tovuti maalum ya jukwaa iliyounganishwa hapa.
p19,Barefoot Ocean imetekeleza taratibu kadhaa za usalama wa data pamoja na hatua za usalama wa data zinazotolewa na majukwaa ya programu hapo juu. Akaunti zote kwenye majukwaa yote ya programu yanayotumiwa Na Bahari Ya Barefoot zinalindwa na nenosiri.
p20,"Tunatumia github kama mfumo wetu wa kudhibiti toleo kwa bidhaa zilizosimbwa. Kwa chaguo-msingi, folda zote na miradi iliyo na uvuvi na data ya kijamii na kiuchumi ni ya kibinafsi na inapatikana tu kwa wafanyikazi Wa Bahari Wasio Na Viatu na wakandarasi."
p21,"Kutoka kwa majukwaa yoyote ya data ya pamoja (kwa Mfano Programu Zenye Kung'aa), uthibitishaji wa mtumiaji unahitajika kwa kutazama au kupakua data, kulingana na makubaliano ya kushiriki data yaliyochaguliwa na kila shirika la mshirika. Hii ni pamoja na uthibitisho wa watumiaji kabla ya kuruhusu data kutazamwa au kupakuliwa, watumiaji kuingia katika majukwaa ya taswira ya data, na usimamizi wa kawaida wa watumiaji kuthibitishwa na Timu Ya Bahari Ya Barefoot."
p22,"Upatikanaji Wa Nyaraka Smartsheet (kwa mfano faili za kumbukumbu, karatasi data uthibitisho) ni mdogo kwa wafanyakazi kutambuliwa na kila shirika, na kila mpenzi anaweza tu kuona habari zao wenyewe mpenzi maalum. Isipokuwa kwa hii ni pamoja Na Barefoot Ocean wafanyakazi ambao kudhibiti na kusaidia na data ubora workflows, Na Blue Ventures wafanyakazi kusaidia washirika na habari workflows katika Smartsheet."
p23,Upatikanaji wa Database Kuu Ya Bahari Ya Barefoot ni mdogo kwa Wafanyakazi Wa Bahari Ya Barefoot na wakandarasi.
dp,Faragha Ya Data
p24,"Maelezo ya kibinafsi yanayotambulika (PII) na data ya uvuvi inamilikiwa na wavuvi na wanunuzi wa samaki na haitashirikiwa kamwe bila idhini ya awali. Ili kulinda faragha ya wavuvi, wanunuzi, na watoza data, majina yote hayajulikani katika nambari za kitambulisho cha nasibu. Kwa hiyo, data zote sehemu au kikamilifu inapatikana kwa umma itakuwa tu ni pamoja na random, namba id namba. Tazama sehemu ya kushiriki data kwa maelezo kamili ya makubaliano ya kushiriki data."
p25,Takwimu kuchukuliwa KUWA PII ni pamoja NA:
point34,"Majina ya wavuvi, wanunuzi, na watoza data"
point35,Majina ya waliohojiwa kwa tafiti zozote
datasharing,Kushiriki Data
p26,"Mfumo wa takwimu Za Uvuvi Wa Bahari Isiyo Na Viatu umeundwa ili kurahisisha utumiaji wa data yako na kutoa jukwaa la ushiriki wako hai katika usimamizi mpana wa uvuvi na juhudi za uhifadhi. Takwimu zilizokusanywa kwa kushirikiana katika washirika zinaweza kutoa ufahamu wenye nguvu wa kufuatilia uvuvi, kutathmini mikakati ya usimamizi, kuongoza maamuzi katika ngazi za mitaa na kitaifa, kuelewa mabadiliko ya kikanda, na kutambua huduma za kifedha zinazowezekana."
p27,"Tunatambua umuhimu muhimu wa umiliki wa data na matumizi kwa washirika wote wanaochangia. Lengo letu ni kukupa kubadilika katika kusimamia na kuamua jinsi data yako inatumiwa. Kwa kuchagua moja ya viwango vitatu vya ruhusa ya matumizi ya data, unaweza kudhibiti kiwango ambacho data yako inashirikiwa na watumiaji wengine. Unaweza kurekebisha viwango vya ruhusa kulingana na aina za data, na muhimu zaidi, una uhuru wa kurekebisha kiwango chako cha ruhusa ya data wakati wowote. Maelezo ya kibinafsi yanayotambulika (PII) na data ya uvuvi inamilikiwa na wavuvi na wanunuzi wa samaki na haitashirikiwa kamwe bila idhini ya awali. Kwa kuchagua kiwango cha ruhusa ya matumizi ya data, unathibitisha kuwa ruhusa za kibinafsi zimepatikana kutoka kwa wavuvi na wanunuzi wa samaki."
p28,Takwimu zote kwa sasa zimewekwa Kwa Kiwango Cha 1 - Binafsi. Watumiaji watapata fursa ya kurekebisha viwango vyao vya ruhusa inavyohitajika.
level1,Kiwango Cha 1-Binafsi
point36,Data ni madhubuti kwa ajili ya madhumuni ya ndani ya awali data mchangiaji.
point37,Takwimu zitapatikana kwa kupakuliwa na mchangiaji wa awali wa data.
point38,Takwimu hazitajumuishwa katika uchambuzi wa kikanda uliotolewa kwenye dashibodi.
point39,Kugawana au usambazaji usioidhinishwa wa data kwa vyama vya nje ni marufuku kabisa.
level2,Kiwango cha 2-Shiriki Na Wachangiaji Wengine Wa Data
point40,Data ya kiwango cha safari inapatikana kwa wachangiaji wengine wa data kupakua.
point41,Muhtasari wa Data na taswira zitapatikana kwa wachangiaji wengine wa data.
point42,Takwimu zitajumuishwa katika uchambuzi wa kikanda kwenye dashibodi.
level3,Kiwango cha 3-Shiriki Na Watumiaji Wote
point43,Data ya kiwango cha safari inapatikana kwa watumiaji wote kupakua.
point44,Muhtasari wa Data na taswira zitapatikana kwa watumiaji wote.
point45,Takwimu zitajumuishwa katika uchambuzi wa kikanda kwenye dashibodi.
point46,Mchangiaji wa awali wa data anaweza kutaja mapungufu yoyote ya matumizi au hali zinazotumika kwa watumiaji wote.
newdata,Kuthibitisha Data Mpya Na Bendera
p29,"Katika uchunguzi, baadhi ya maswali kuruhusu enumerators kuongeza mpya fisher, mnunuzi, data mtoza, kutua tovuti, aina, au ""nyingine.""Habari kutoka chaguzi hizi ni pointi mpya data na lazima kupitia uthibitisho kabla ya kusukuma kwa seti ya mwisho ya data, visualized katika dashibodi, na aliongeza kwa faili za kumbukumbu. Pia kuna vikwazo kuweka juu ya uzito, bei na urefu wa aina, na kama data zilizokusanywa ni chini au juu ya vikwazo hivi, maadili haya ni flagged kwa ajili ya ukaguzi. Vikwazo juu ya uzito na bei ni kuweka na washirika katika min_max_ref. Vizuizi vya urefu wa spishi huwekwa na Timu ya Bahari Isiyo Na Viatu kwa kutumia vigezo vya kibaolojia."
p30,"Takwimu zote zinazotiririka kupitia mfumo wa data ya uvuvi zinathibitishwa Katika Smartsheet. Yoyote yariesies hizi mpya au bendera ni kutumwa kwa quality control (QA) meza Katika Smartsheet kwa timu uwanja kuthibitisha. Jedwali la kudhibiti ubora ni maalum kwa wenzi na linaweza kupatikana kupitia maombi ya sasisho yaliyotumwa kwa barua pepe yako au kwa kutembelea viungo Vya Mtazamo Wa Nguvu uliyopewa. Uongozi wa timu ya shamba utaarifiwa kupitia barua pepe wakati data inahitaji kuthibitishwa katika meza ZA QA. Mara tu data itakapothibitishwa kwenye meza ZA QA, tutaongeza habari mpya kwenye faili ya kumbukumbu na kutoa marekebisho muhimu kwa hifadhidata kuu."
p31,"Maagizo maalum, ya hatua kwa hatua ya jinsi ya kukamilisha uthibitishaji wa data Katika Smartsheet yanaweza kupatikana kwenye ukurasa wa Uthibitishaji Wa Data."
datacol,Ukusanyaji Wa Data
p32,"Bahari ya Barefoot inasimamia tafiti zote kupitia Fomu Za Kobo Toolbox zinazoweza kushirikiwa kupitia akaunti ya Kobo Toolbox. Unaweza kuweka akaunti katika https://kf.kobotoolbox.org/accounts/signup/. Tafadhali fikia timu Ya Bahari Isiyo Na Viatu na jina lako la mtumiaji na maelezo ya akaunti. Mara baada ya tafiti ni pamoja, kupata Kobo fomu kupitia kobocollect Bure Android simu ya mkononi programu au kupitia Enketo mtandao fomu. Maagizo ya kina juu ya kuanzisha akaunti Ya Kobo, kukusanya data, na kuwasilisha data yanaweza kupatikana kwenye ukurasa wa Usanidi Wa Kobo. Tumia msimbo WA QR kusanidi vifaa vyote baada ya kusanidi simu ya kwanza au kompyuta kibao ili kusanidi simu au kompyuta kibao nyingi chini ya akaunti moja ya ukusanyaji wa data. Usanidi wa mwongozo wa kifaa cha kwanza unahitaji Url Ya Seva Ya Kobo, jina la mtumiaji, na nywila. Kobo server URL ni https://kc.kobotoolbox.org. habari zaidi juu ya kuanzisha ukusanyaji wa data Na Kobo, pamoja na jinsi ya kusanidi vifaa vingi vya ukusanyaji wa data kupitia nambari YA QR, inaweza kupatikana katika https://support.kobotoolbox.org/."
p33,"Mara tu unapopakua KoboCollect, fungua programu na uweke url ya seva, jina la mtumiaji, na nywila ili kuunganisha programu yako Ya KoboCollect kwenye seva ya kobotoolbox. Kuunganisha programu Ya kobocollect kwenye seva Ya kobotoolbox hukuruhusu kupakua fomu zilizotumwa kutoka KoboToolbox hadi kwenye kifaa chako cha rununu na kutuma data iliyokusanywa kupitia programu kurudi kwenye seva. Kwenye skrini ya kwanza, chagua "" Pata Fomu Tupu.""Orodha ya fomu zako zote za uchunguzi zilizotumiwa zinapaswa kuonekana. Bonyeza ""Chagua Zote"" ili fomu zote za uchunguzi zitumwe kwenye programu, au chagua zile unazotaka kuwa nazo kwa kuzichagua wewe mwenyewe. Kisha bonyeza "" Chagua.""Ili kupeleka utafiti, chagua"" Jaza Fomu Tupu.”"
p34,"Wakati webform ni moja kwa moja updated wakati toleo jipya utafiti inapatikana, watumiaji lazima configure ""auto-update"" wenyewe katika programu. Kusasisha mara kwa mara tafiti katika programu huhakikisha kutumia toleo la hivi karibuni la fomu na sio kusababisha maswala ya bomba la data. Unaweza kusanidi sasisho kiotomatiki katika programu kwa kwenda kwenye ""Mipangilio"" na "" Usimamizi Wa Fomu.""Taarifa zaidi juu ya uchunguzi wa uppdatering moja kwa moja katika programu inaweza kupatikana katika Ukurasa Wa Kuanzisha Kobo. Ni muhimu kutambua kwamba muunganisho unahitajika kwa programu kuvuta toleo la hivi majuzi la uchunguzi, hata ikiwa mipangilio ya kusasisha kiotomatiki imewashwa. Kwa hivyo, washauri wahesabu kuwa na unganisho la mtandao kabla ya kufanya kazi ya shamba ili KoboCollect iweze kuvuta toleo la hivi karibuni."
p35,"Baada ya kukusanya data, tafiti zilizowasilishwa kupitia fomu ya wavuti zitawasilishwa kiotomatiki kwa seva mara tu mtoza data atakapogonga kitufe cha"" Wasilisha"". Takwimu zilizokusanywa kupitia programu Ya kobocollect kwanza huhifadhiwa kwenye programu mahali pa kushikilia na kisha kusukumwa kwa seva. Uchunguzi kukamilika kubaki juu ya kusubiri kabla ya kuwasilisha kwa server ili watoza data wanaweza kufanya utafiti edits baada ya kukusanya data, au kama hakuna uhusiano internet, programu inaweza kuokoa tafiti na kisha kushinikiza tafiti kwa server mara moja kuna internet connectivity. Hasa, wakati utafiti ni kamili, mtumiaji hit ""Save fomu na exit"", kuhakikisha kwamba ""Mark fomu kama kukamilika"" pia ni checked. ""Hariri Fomu Iliyohifadhiwa"" huhifadhi kiotomatiki fomu iliyohifadhiwa. Mkusanyaji wa data anaweza kufanya mabadiliko muhimu na kuchagua "" Hifadhi Fomu na Toka.""Skrini ya nyumbani pia ina kitufe kinachoitwa"" Tuma Fomu Iliyokamilishwa.""Bonyeza Chagua Zote (au chagua zile unazotaka kupakia) na kisha bonyeza"" Tuma Kuchaguliwa.""Chagua"" Tazama Fomu Iliyotumwa "" ili kuhakikisha kupakia fomu kwa mafanikio na sasa unapaswa kuwa na uwezo wa kuona fomu zote zilizowasilishwa."
p36,"Mfumo wa kuhifadhi data kuu unaunganisha data Ya Kobo, na uchambuzi wa kiotomatiki na taswira zitapatikana kupitia dashibodi ya kawaida. Data mbichi imehifadhiwa kwenye hifadhidata Ya KoboToolbox na itapatikana kupitia upakuaji au kiunga cha moja kwa moja kwenye hifadhidata nyingine au ghala la data."
translations,Tafsiri
p37,"Tafsiri kwa lugha zote ni kukamilika kwa kuhariri karatasi tafsiri katika Smartsheet. Ukigundua kuwa tafsiri inahitaji kusasishwa au sio sawa katika tafiti, tafadhali sasisha moja kwa moja tafsiri inayolingana kwenye karatasi Inayofaa Ya Smartsheet. Ikiwa timu Ya Bahari Ya Barefoot inahitaji tafsiri mpya, watatoa maoni na kugawa kazi kwa uongozi wa timu ya nchi."
ref,Faili Za Kumbukumbu
p38,"Faili za kumbukumbu ni washirika au nchi maalum na zina habari kamili juu ya viwango vya kiutawala vya jamii za uvuvi (nchi, mkoa, wilaya, kijiji), maeneo ya kutua, wavuvi, wanunuzi, watoza data, data ya spishi, maeneo ya usimamizi, aina za makazi, aina za gia, na mashirika ya kushirikiana. Baadhi ya habari populates orodha dropdown katika tafiti, na baadhi ni alijiunga na master dataset baada ya data ni zilizokusanywa. Habari mpya inapaswa kuongezwa moja kwa moja kwenye karatasi za kumbukumbu."
p39,"Maagizo mahususi, ya hatua kwa hatua ya jinsi ya kusasisha faili za marejeleo Katika Smartsheet yanaweza kupatikana katika ukurasa wa Faili Za Marejeleo."
appendixa,Kiambatisho A: Mwongozo Wa Majadiliano Ya Kikundi Cha Kuzingatia
p40,Mambo muhimu kabla ya kufanya uvuvi profiling au tafiti
p41,Uhusiano na uaminifu
p42,"Kujenga uhusiano na kupata uaminifu kutoka kwa jamii ni hatua muhimu ya awali kabla ya kuuliza juu ya habari ya uvuvi. Hatua ya kwanza ya kujenga uhusiano na kupata uaminifu wa jamii ni kujitambulisha, shirika lako, na kusudi la kufanya wasifu wa uvuvi."
p43,Maandalizi
p44,"Maandalizi ni muhimu katika kufanya kila njia ya uchunguzi, kwani maandalizi mazuri yatakupa ujasiri katika ufanisi wa kila njia unayotumia."
p45,Wakati wa kukusanya habari
p46,Rekebisha wakati wa kufanya kila njia kwa wakati wa mhojiwa anayetarajiwa au kikundi cha jamii kinacholengwa.
p47,Mhojiwa
p48,"Kuelewa washiriki watarajiwa utakaokutana nao wakati wa uvuvi profiling ni muhimu kwa kufanya tafiti. Vikundi au watu ambao watakuwa kwenye utafiti wanapaswa kupokea arifa ya awali. Kwa hiyo, kuanzisha viongozi wa jamii wenye ushawishi lazima iwe sehemu ya kazi ya kabla ya utafiti."
p49,Vifaa
p50,Kila njia ina mahitaji ya vifaa na nyenzo. Hakikisha kuwa rasilimali na vifaa vinavyohitajika kwa kila njia ya wasifu wa uvuvi vimeandaliwa.
p51,Orodha ya mawasiliano ya mtu muhimu
