key,mg
p5,"Azo angonina amin'ny alalan'ny fanadihadiana ataon'ny antoko fahatelo (izany hoe, fanisam-bahoaka, rakitsoratry ny sampan-draharahan'ny jono, sns), vondrona mifantoka ahitana mpikambana fototra ao amin'ny vondrom-piarahamonina miisa 10-20 na mpanome vaovao fototra. Ireo mpitarika ny vondrom-piarahamonina ary koa ireo mpanjono sy mpivarotra trondro isan-karazany mahay (ao anatin'izany ny vehivavy sy ny tanora) no mpandray anjara tsara indrindra hampidirina ao amin'ny vondrona ifantohana. Amin'ny fanamorana ny vondrona ifantohana, dia asaina manana, farafaharatsiny, mpanamora sy mpandray naoty. Ao amin'ny vondrona ifantohana, asaina ihany koa ny mpandray anjara hanome lisitr'ireo/fampahalalana momba ny fifandraisana ho an'ireo mpanjono ao amin'ny vondrom-piarahamonina izay afaka mifandray amin'ny Fitantanana ny Fanadihadiana Ao an-tokantrano. Raha tsy azo atao ny manatanteraka Ny Fanadihadiana ny Mombamomba ny Vondrom-piarahamonina amin'ny endrika vondrona ifantohana, ny safidy iray dia ny fitantanana ireo fanontaniana mitovy amin'ny fanadihadiana tsirairay miaraka amin'ireo mpanome vaovao fototra ary manangona ny valiny. Ny fanontaniana tafiditra ao amin'ny fanadihadiana ny mombamomba ny vondrom-piarahamonina sy ny tolo-kevitra momba ny fanaovana fifanakalozan-kevitra amin'ny vondrona mifantoka dia hita ao amin'ny Tovana a etsy ambany."
lms,Fanadihadiana Momba Ny Fanaraha-Maso Ny vokatra tonga
p6,"Raiso ny antotan'isa fototra ilaina amin'ny fikajiana ireo mari-pamantarana tsotra mifototra amin'ny halavan'ny fahasalaman'ny jono ary hanarahana ny fiovan'ny famokarana, ny sanda ary ny firafitry ny vokatra."
point8,Daty niantsona
point9,Toerana fiantsonana
point10,Anaran'ny mpivarotra trondro
point11,Anaran'ny mpanjono
point12,Ezaka fanjonoana (andro fanjonoana/fanangonana)
point13,"Ny mombamomba ny vokatra (anarana eo an-toerana, mahazatra, siantifika)"
point14,Isany totaly
point15,Lanja totaly
point16,Vidiny manontolo
point17,"Antony tsy amidiana ny vokatra, raha azo atao"
p7,Mpanjono rehefa mampidina ny vokatsiny na any amin'ny tranon'ny mpividy trondro/tsena.
p8,"Ny Fanadihadiana Fanaraha-maso Ny fiantsonana dia tokony hatao isan'andro na matetika araka izay azo atao. Manaova Fanadihadiana Fanaraha-maso Ny fiantsonana aloha sy aorian'ny fampiharana mba hanombanana ny vokatry ny fanakatonana ny jono na ny paikady fitantanana hafa. Manoro hevitra izahay hanangona antotan'isa 30 andro mialoha sy aorian'ny fotoana fanakatonana vonjimaika. Mandritra ny fito andro voalohany amin'ny vanim-potoana fakana santionany, dia manoro hevitra izahay fa ny mpanisa dia manao Fanadihadiana Fanaraha-maso ny fiantsonana isan'andro. Raha azo atao dia tohizo ny fanaraha-maso isan'andro mandritra ny 30 andro manontolo. Raha tsy azo atao izany dia manadihady farafahakeliny 80% amin'ny andro ao anatin'ny 30 andro. Manoro hevitra ihany koa izahay ny hanadihady 80% na mihoatra amin'ireo mpanjono rehetra tratra amin'ny andro iray mialoha na aorian'ny fanakatonana. Mizara ny ezaka fanadihadiana eo amin'ny mpanjono mitondra lakana sy ny mpanjono tsy mitondra. Angony ny antotan'isa avy amin'ireo mpanjono rehetra tonga ao an-tanàna, na inona na inona fanjonoana ao anatin'ny toerana fanakatonana na tsia."
p9,"Ho an'ny fanakatonana maharitra kokoa, ataovy azo antoka fa angonina mandritra ny volana iray ihany ny antotan'isa isan-taona mba hijerena ny fiovana mandritra ny fe-potoana fanakatonana. Raha tsy azo atao izany dia manoro hevitra izahay hanangona antotan'isa mandritra ny volana iray mialoha sy aorian'ny fanakatonana. Araka ny voalaza etsy ambony, manoro hevitra izahay ny hanadihady farafahakeliny 80% amin'ny andro ao anatin'ny volana ary 80% amin'ny mpanjono isan'andro."
p10,"Mampiasana ny Kobo, mihaona amin'ireo mpanjono any amin'ny toerana fiantsonana/tranon'ny mpividy mba hanoratra ny vokatra azony."
lps,Fanadihadiana ny Mombamomba Ny vokatra eny amin'ny fiantsonana
p11,Fahalalana ny antony fironan'ny vokatra.
point18,Daty niantsona
point19,Toerana niantsonana
point20,Toerana fanjonoana voalohany
point21,Anaran'ny mpivarotra trondro
point22,Anaran'ny mpanjono
point23,Ezaka fanjonoana (ora sy andro fanjonoana/fanangonana)
point24,"Karazana fitaovana fitaterana (laharan'ny fanoratana ny fitaovana, Isan'ny mpiasa)"
point25,"Ny mombamomba ny vokatra (anarana eo an-toerana, mahazatra, siantifika)"
point26,Fitaovana ampiasaina
point27,Toerana fanjonoana
point28,Isany totaly
point29,Lanja totaly
point30,Vidiny manontolo
point31,"Antony tsy amidy ny totalin'ny trondro, raha azo atao"
point32,Santionany amin'ny lanjan'ny tsirairay sy ny halavany (Tarehimarika 2-8)
point33,"Antontan'isa santionany manokana ho an'ny mpiara-miasa (maha lahy na maha vavy, kalitaon'ny trondro, tsirin'atody, stylet, # fandrika, sns.)"
p12,"Santionan'ny vokatra ao anatin'ny vondrom-piarahamonina. Raketo santionany 50 farafahakeliny (100 tsara indrindra) ho an'ny karazana vokatra kendrena tsirairay, maneho karazana fitaovana isan-karazany sy mombamomba an'i mpanjono."
p13,"Ity fanadihadiana ity dia tokony hatao amin'ny fiandohan'ny fandraisana anjara amin'ny vondrom-piarahamonina iray ary avy eo atao isakin'ny ray ka hatramin'ny roa taona, alohan'ny sy aorian'ny fampiharana ny paikady fitantanana, na raha ilaina mba hanazavana ny fihenan'ny fanaraha-maso amin'ny alàlan'ny antotan'isa fanaraha-maso. Amin'ny fampiasana ny Kobo, mihaona amin'ireo mpanjono any amin'ny toerana fiantsonana mba hanoratra ny vokatra azony sy ny asa fanjonoana ataon'izy ireo."
p14,"Amin'ny fampiasana ny Kobo, mihaona amin'ireo mpanjono any amin'ny toerana fiantsonana mba  hazandranony sy hanoratra vokatra azony sy ny asa fanjonoana ataon'izy ireo."
ms,Famaritana ny Fandrefesana: Karazana Halavany ho refesina
fig2,"Sary 2: ny halavany Manontolo dia tokony ampiasaina handrefesana ny trondro, antsantsa ary anmalona (AFS)."
fig3,Sary 3: Ny Sakan'ny kapila dia tokony hampiasaina handrefesana makoba.
fig4,"Sary 4: tokony hampiasaina ny Sakan'ny sarony Rehefa mandrefy ny drakaka (Suryandari et. al, 2018)."
fig5,Sary 5: ny halavan'ny Akanjo Dia tokony hampiasaina rehefa mandrefy horita sy angisy (FAO).
fig6,Sary 6: tokony hampiasaina ny Halavan'ny Sarony rehefa mandrefy ny tsitsiky sy ny langosta (Hart et al. 2001).
fig7,Sary 7: Ny Halavany dia tokony hampiasaina rehefa mandrefy bivalves sy akoran-driaky.
fig8,Sary 8: ny halavany Manontolo dia tokony hampiasaina rehefa mandrefy zanga. Tokony hampiasaina ny sakany na ny savaivony rehefa mandrefy ny oursins.
dfo,Topimaso Momba Ny Antotan'isa
p15,"Manodina sy mamakafaka ireo antotan'isa fototra momba ny jono sy ny toekarena ara-tsosialy ananan'ny fikambanana mpiara-miasa amin'ny alalan'ny fizarana antotan'isa ny Barefoot Ocean. Raha lazaina amin'ny teny hafa, ny mpiara-miombon'antoka no tompon'ny antotan'isa, ary ny Barefoot Ocean no manodina azy. Ny fanangonana antotan'isa, ny fanamarinana, ny fanovana ary ny sary  no singa efatra lehibe amin'ny Rafitry ny antotan'isa Barefoot Ocean. Ny rindrambaiko voalohany ampiasaina Dia Ny KoboToolBox, Smartsheet, PostgreSQL, Ary R."
p16,"Kobotoolbox dia rindrambaiko maimaimpoana sy loharano misokatra izay fitaovana matanjaka ho an'ny fanangonana antotan'isa azo idirana amin'ny alàlan'ny tontolo sarotra sy sehatra maro, toy ny fitaovana finday, solosaina ary taratasy. Manangona antotan'isa momba ny toe-piainana ara-tsosialy sy ara-toekarena ary ara-tontolo iainana ilaina amin'ny fanombanana ny vondrom-piarahamonina sy ny satan'ny jono amin'ny alàlan'ny Fanontaniana Momba ny fanadihadiana Barefoot Ocean kobotoolbox. Smartsheet dia sehatra fitantanana asa iaraha-miasa izay manome sehatra malefaka sy intuitive ho an'ny fikambanana handrafetana, hanarahana, hanamboatra ary hitantana tetikasa sy fizotrany isan-karazany amin'ny fotoana tena izy. Ny rakitra referansa izay ampiasaina hamenoana ny fanadihadiana sy hampifandray antotan'isa fanampiny amin'ny antotan'isa lehibe dia tantanana ao amin'ny Smartsheet. Ankoatra izany, ny antotan'isa dia voamarina ao Amin'ny Smartsheet. Postgresql dia rafitra fitantanana tahiry maimaimpoana sy loharano misokatra ampiasaina ho trano fitehirizana antotan'isa ho an'ny tranonkala, famakafakana ary fampiharana geospatial marobe raha mitahiry angona tsy voarafitra sy voarafitra ao anaty vokatra tokana. R dia rindrambaiko maimaimpoana ary  ampiasaina betsaka amin'ny siansa momba ny angona, ny informatika statistika ary ny sary an-tsary. Ny dashboard Data dia natsangana tamin'ny fampiasana ny shiny package avy Amin'ny fiteny fandaharana R ary nampiantranoina tamin'ny shinyapps.io, sehatra ho toy ny tolotra (PaaS) ho an'ny fampiantranoana fampiharana Tranonkala Mamirapiratra (fampiharana)."
fig9,Sary 9: Sary An-Tsary Momba ny Fikorianan'ny Aantotan'isa Barefoot Ocean.
p17,"Ny fanangonana antontan'isa dia mitaky fanangonana sy fandrefesana vaovao avy amin'ny loharanom-baovao mifandraika amin'ny fiovana mahaliana amin'ny fandraisana fanapahan-kevitra, drafitra stratejika, fanombanana ny vokatra, ary tanjona hafa. Amin'ny fampidirana antontan'isa momba ny habetsahana sy ny kalitao ao amin'ny fanontanian'ny fanadihadiana, Ny Barefoot Ocean dia mifantoka amin'ny fanadihadiana mifangaro amin'ny fizotry ny fanangonana antontan'isa mba hampivelarana fahatakarana lalindalina kokoa momba ny toe-piainana ara-tsosialy sy ara-toekarena ary ara-tontolo iainana mifandraika amin'ny vondrom-piarahamonina mpanjono sy ny paikady fitantanana adaptive. Ny fanamarinana ny antotan'isa dia manondro ny fampiharana ny fomba handrefesana ny fepetra momba ny antotan'isa voaangona ary hamaritana raha mahafeno ny fepetra momba ny kalitao voafaritra ny antotan'isa voaangona, toy ny fahamendrehana, ny tsy fitoviana, ny maha-zava-dehibe, ny fahafenoana ary ny maha-tokana azy. Ny fanovana ny antotan'isa dia manova, manadio ary manamboatra azy ho endrika azo ampiasaina izay azo dinihina sy ampiasaina amin'ny fandraisana fanapahan-kevitra. Ny famakafakana sy ny fijerena ny antotan'isa dia mitaky ny famolavolana sy ny famoronana sary na fampisehoana an-tsary ny fahalalana mba hampitana amin'ny fomba mahomby ny antotan'isa sarotra momba ny kalitao sy ny habetsahana nangonina, voamarina ary novaina teo aloha tamin'ny mpihaino kendrena. Nofaritanay eto ambany ny fizotry ny fikorianan'ny angona:"
step1,Angonina amin'ny alalan'ny fanadihadiana KoboToolBox ny antotan'isa.
step2,Voasarika ao amin'ny Tahirin-Kevitra Barefoot Ocean ny antotan'isa.
step3,"Raha ny mpanadihady no nifidy ny valiny safidy amin'ny fanadihadiana, ny antotan'isa dia tsy mila ho hamarinina ary afaka mivantana mandalo ny fanadihadiana sy ny sary fanehoana."
step4,"Raha miditra amin'ny antontan'isa vaovao toy ny mpanjono vaovao, mpividy, mpanangona aantotan'isa, toerana fiantsonana, na karazany ny mpanisa, dia hamarinina ao amin'ny Smartsheet ny antontan'isa alohan'ny hampidirana azy ao amin'ny tabilao farany ary hita maso ao amin'ny dashboard. Ny mpitarika ny ekipa eny an-kianja dia ampandrenesina amin'ny alàlan'ny mailaka rehefa vonona ho hamarinina ny antotan'isa. Ny mpitarika ny ekipa dia hanamarina mba hanamafisana fa manan-kery ny fampahalalana vao nampiana."
step5,"Aorian'ny fanamarinana, ny antontan'isa vaovao dia mankany any amin'ny rakitra referansa ary miverina any amin'ny tahiry ho an'ny fanovana farany alohan'ny famakafakana sy ny sary."
step6,"Raha vao any amin'ny rakitra fanovozan-kevitra ny antontan'isa, dia hampandrenesina amin'ny alalan'ny mailaka ny mpitarika ny ekipa raha misy fampahalalana fanampiny ilaina ao amin'ny rakitra fanovozan-kevitra."
step7,"Avy eo dia ampidirina ao amin'ny sehatra KoboToolBox ny rakitra referansa nohavaozina mba hampidirina ao amin'ireo ""form""."
step8,"Ny antontan'isa nohavaozina avy amin'ny rakitra referansa dia ampiasaina ihany koa amin'ny fizotry ny fanovana antontan'isa mba hanatevin-daharana ireo antotan'isa fanampiny toy ny ""coordonnnées"", ny maha lahy sy ny vavy."
step9,"Ny dingana farany amin'ny fizotry ny fanovana antotan'isa dia miteraka tabilao izay ampiasaina amin'ny famakafakana sy ny fanehoana sary ao amin'ny ""dashboard""."
step10,"Ny dashboard Data (izany hoe ""Shiny apps"") dia mifandray mivantana amin'ny tahiry ary misintona ny antotan'isa farany misy, ka manome ny mpiara-miasa ny fidirana avy hatrany amin'ny antotan'isa rehetra sy voafintina."
datasecurity,Fiarovana Ny antotan'isa
p18,Ity ambany ity ny lisitry ny rindrambaiko izay azo itehirizina sy amindrana ny antotan'isa avy any amin'ny banky angona. Azo jerena ao amin'ny tranonkala manokana mifandraika eto ny fampahalalana momba ny fiarovana ny antotan'isa ho an'ny sehatra tsirairay.
p19,Barefoot Ocean dia nametraka fomba fiasa fiarovana antotan'isa maromaro ankoatra ny fepetra fiarovana antotan'isa nomen'ireo sehatra rindrambaiko etsy ambony. Ny kaonty rehetra amin'ny sehatra rindrambaiko rehetra ampiasain'ny Barefoot Ocean dia voaaro amin'ny teny miafina.
p20,"Mampiasa ""github"" izahay ho toy ny rafitra fanaraha-maso ny dikan-teny ho an'ny vokatra misy kaody. Ny lahatahiry sy ny tetikasa rehetra misy ny jono sy ny antotan'isa ara-tsosialy sy ara-toekarena dia miafina ary mpiasan'ny Barefoot Ocean sy ny mpiantoka irery ihany no mahazo alalana amin'izany."
p21,"Avy amin'ny sehatra angon-drakitra iraisana (ohatra Ny Shiny Apps), ny fanamarinana ny mpampiasa dia takiana amin'ny fijerena na fangalana angona, arakaraka ny fifanarahana fizarana angona nofidian'ny fikambanana mpiara-miasa tsirairay. Tafiditra ao anatin'izany ny fanamarinana ireo mpampiasa alohan'ny hamelana ny antotan'isa hojerena na alaina, ny fidiran'ireo mpampiasa amin'ny fijerena antotan'isa, ary ny fitantanana tsy tapaka ireo mpampiasa voamarina ataon'ny Ekipan'ny Barefoot Ocean."
p22,"Ny fidirana amin'ny antontan-taratasy Smartsheet (ohatra ny rakitra referansa, ny takelaka fanamarinana antotan'isa) dia voafetra amin'ny mpiasa voafaritry ny fikambanana tsirairay, ary ny mpiara-miasa tsirairay dia afaka mijery ny fampahalalana manokana momba ny mpiara-miasa aminy ihany. Ankoatran'izay dia ahitana ireo Mpiasan'ny Barefoot Ocean izay mifehy sy manampy amin'ny fizotry ny asa momba ny kalitaon'ny antotan'isa, ary Ireo mpiasan'ny Blue Ventures manampy ireo mpiara-miasa amin'ny fizotry ny asa momba ny fampahalalana ao amin'ny Smartsheet."
p23,Voafetra ho an'ny mpiasa Sy ny mpandraharaha Ao Amin'ny Barefoot Ocean ny fidirana amin'ny Tahiry Fototra Ao Amin'ny Barefoot Ocean.
dp,Tsiambaratelo Momba Ny Angona
p24,"Ny fampahalalana azo fantarina manokana (PII) sy ny antotan'isa momba ny jono dia an'ny mpanjono sy ny mpividy trondro ary tsy hozaraina mihitsy raha tsy misy ny fanekena mialoha. Mba hiarovana ny fiainana manokan'ny mpanjono, mpividy, ary mpanangona antotan'isa, ny anarana rehetra dia tsy fantatra ho isa famantarana kisendrasendra. Noho izany, ny angon-drakitra rehetra azo alaina ampahibemaso amin'ny ampahany na tanteraka dia tsy ahitana afa-tsy ny isa kisendrasendra. Jereo ny sehatra momba ny fizarana antotan'isa raha mila fanazavana feno momba ny fifanarahana fizarana antotan'isa."
p25,Ny angon-drakitra heverina HO PII dia ahitana:
point34,"Anaran'ny mpanjono, mpividy ary mpanangona antotan'isa"
point35,Anaran'ny mpamaly amin'ny fanadihadiana rehetra
datasharing,Fizarana Angona
p26,"Ny ""barefoot Ocean fisheries data system"" dia natao hanatsarana ny fampiasana ny antotan'isa-nao ary hanome sehatra ho an'ny fandraisanao anjara mavitrika amin'ny fitantanana ny jono sy ny ezaka fiarovana. Ny antotan'isa voaangona miaraka amin'ny mpiara-miombon'antoka dia afaka manome fomba fijery matanjaka amin'ny fanaraha-maso ny jono, ny fanombanana ny paikady fitantanana, ny fitarihana ny fandraisana fanapahan-kevitra eo amin'ny sehatra eo an-toerana sy nasionaly, ny fahatakarana ny fiovan'ny faritra, ary ny famantarana ny tolotra ara-bola mety hitranga."
p27,"Fantatsika ny maha-zava-dehibe ny fananana antotan'isa sy ny fampiasana ho an'ny mpiara-miombon'antoka rehetra mandray anjara. Ny tanjonay dia ny hanome anao fahalalahana amin'ny fitantanana sy famaritana ny fomba fampiasana ny angona-nao. Amin'ny fisafidianana ny iray amin'ireo ambaratonga fahazoan-dàlana fampiasana antotan'isa telo dia azonao atao ny mifehy ny halehiben'ny fizarana ny antotan'isa-nao amin'ireo mpampiasa hafa. Azonao atao ny mampifanaraka ny haavon'ny fahazoan-dàlana mifototra amin'ny karazana data, ary ny tena zava-dehibe dia manana fahalalahana hanitsy ny haavon'ny fahazoan-dàlana amin'ny fotoana rehetra ianao. Ny fahalalana azo fantarina manokana (PII) sy ny antotan'isa momba ny jono dia an'ny mpanjono sy ny mpividy trondro ary tsy hozaraina mihitsy raha tsy misy ny fanekena mialoha. Amin'ny fisafidianana ny haavon'ny fahazoan-dàlana amin'ny fampiasana antotan'isa, dia manamafy ianao fa ny fahazoan-dàlana tsirairay dia azo avy amin'ny mpanjono sy ny mpividy trondro."
p28,Ny antotan'isa rehetra dia napetraka amin'ny Ambaratonga 1-Private. Hanana fahafahana hanitsy ny ambaratonga fahazoan-dàlana araka izay ilaina ny mpampiasa.
level1,Ambaratonga 1 Miafina
point36,Ny antotan'isa dia natao ho an'ny tanjona anatiny amin'ny mpandray anjara tany am-boalohany.
point37,Ho azon'ny mpandray anjara amin'ny angona antotan'isa tany am-boalohany alaina ny antotan'isa.
point38,Tsy ho tafiditra ao anatin'ny fanadihadiana isam-paritra omena ao amin'ny dashboard ny angona.
point39,Voarara tanteraka ny fizarana tsy nahazoana alalana ny antotan'isa amin'ny antoko ivelany.
level2,Ambaratonga 2-Zarao Amin'ireo Mpandray Anjara angona antotan'isa Hafa
point40,Azo alaina ny angon-drakitra momba ny haavon'ny dia ho an'ireo mpandray anjara amin'ny angon-drakitra hafa.
point41,Ho hita ho an'ireo mpandray anjara amin'ny angon-drakitra hafa ny famintinana sy ny sary an-tsaina ny angon-drakitra.
point42,Ny angon-drakitra dia hampidirina amin'ny famakafakana isam-paritra ao amin'ny dashboard.
level3,Haavo 3-Zarao Amin'ny Mpampiasa Rehetra
point43,Azo alaina ho an'ny mpampiasa rehetra ny angon-drakitra momba ny haavon'ny dia.
point44,Ho hita ho an'ny mpampiasa rehetra ny famintinana sy ny sary an-tsaina.
point45,Ny angon-drakitra dia hampidirina amin'ny famakafakana isam-paritra ao amin'ny dashboard.
point46,Ny mpandray anjara amin'ny angon-drakitra tany am-boalohany dia afaka mamaritra ny fetran'ny fampiasana na ny fepetra azo ampiharina amin'ny mpampiasa rehetra.
newdata,Fanamarinana Ny Angon-Drakitra vaovao sy Voamarika
p29,"Ao amin'ny fanadihadiana, ny fanontaniana sasany dia mamela ny mpanisa hanisy mpanjono vaovao, mpividy, mpanangona angon-drakitra, toerana fipetrahana, karazany, na ""hafa.""Ny fampahalalana avy amin'ireo safidy ireo dia teboka angon-drakitra vaovao ary tsy maintsy iharan'ny fanamarinana alohan'ny hanosehana azy ireo amin'ny angon-drakitra farany, hita maso ao amin'ny dashboard, ary ampiana amin'ireo rakitra referansa. Misy ihany koa ny famerana ny lanjany, ny vidiny ary ny halavan'ny karazany iray, ary raha ambany na mihoatra ireo famerana ireo ny angon-drakitra nangonina, dia voamarika ireo soatoavina ireo mba hojerena. Ny famerana ny lanja sy ny vidiny dia napetraky ny mpiara-miasa ao amin'ny min_max_ref. Ny ekipan'ny Ranomasimbe Tsy Manao Kiraro no mametraka ny famerana ny halavan'ny karazany amin'ny fampiasana ny masontsivana biolojika."
p30,"Ny angon-drakitra rehetra izay mikoriana amin'ny alalan'ny rafitra angon-drakitra momba ny jono dia voamarina ao amin'ny Smartsheet. Ny iray amin'ireo fidirana vaovao na misy sainam-pirenena ireo dia alefa any amin'ny latabatra fanaraha-maso kalitao (QA) ao amin'ny Smartsheet mba hanamarinana ny ekipa eny an-kianja. Ny latabatra fanaraha-maso kalitao dia manokana ho an'ny mpiara-miasa ary azo idirana amin'ny alàlan'ny fangatahana fanavaozana alefa amin'ny mailakao na amin'ny fitsidihana ireo rohy Fijerena Mavitrika omena anao. Ny fitarihan'ny ekipa eny an-kianja dia hampandrenesina amin'ny alàlan'ny mailaka rehefa mila voamarina ao amin'ny TABILAO QA ny angona. Raha vantany vao voamarina ao amin'ny tabilao QA ny angon-drakitra, dia hampiditra fampahalalana vaovao amin'ny rakitra fanondroana izahay ary hanome fanitsiana ilaina amin'ny angon-drakitra fototra."
p31,"Azo jerena ao amin'ny pejy Fanamarinana Ny Angon-drakitra ny toromarika manokana, tsikelikely momba ny fomba hamitana ny fanamarinana ny angon-drakitra ao amin'ny Smartsheet."
datacol,Fanangonana Angon-Drakitra
p32,"Barefoot Ocean no mitantana ny fanadihadiana rehetra amin'ny alalan'ny kobo Toolbox forms azo zaraina amin'ny alalan'ny kaonty Kobo Toolbox. Azonao atao ny manangana kaonty amin'ny https://kf.kobotoolbox.org/accounts/signup/. Azafady mba mankanesa Any amin'ny ekipan'ny Barefoot Ocean miaraka amin'ny anaranao sy ny antsipirian'ny kaontinao. Raha vao zaraina ny fanadihadiana, midira amin'ny endrika kobo amin'ny alàlan'ny fampiharana Finday Android Maimaim-poana Kobocollect na amin'ny alàlan'ny endrika tranonkala Enketo. Ny torolàlana amin'ny antsipiriany momba ny fametrahana kaonty Kobo, fanangonana angona ary fandefasana angona dia hita ao amin'ny pejy Fananganana Kobo. Mampiasà kaody QR hanamboarana ny fitaovana rehetra aorian'ny fametrahana tanana ny telefaona na takelaka voalohany hananganana telefaona na takelaka marobe ao ambanin'ny kaonty fanangonana data iray. Ny fanamboarana tanana ny fitaovana voalohany dia mitaky NY URL, ny anaran'ny mpampiasa Ary ny tenimiafina kobo server. NY URL an'ny mpizara Kobo dia https://kc.kobotoolbox.org. Fampahalalana Bebe Kokoa Momba ny fametrahana fanangonana angon-drakitra Miaraka Amin'i Kobo, ao anatin'izany ny fomba fanamboarana fitaovana fanangonana angon-drakitra marobe amin'ny alàlan'ny kaody QR, dia azo jerena ao amin'ny https://support.kobotoolbox.org/."
p33,"Raha vantany vao nisintona KoboCollect ianao dia sokafy ny fampiharana ary ampidiro ny URL mpizara, solonanarana ary tenimiafina hampifandray ny fampiharana kobocollect anao amin'ny mpizara kobotoolbox. Ny fampifandraisana ny fampiharana kobocollect amin'ny mpizara kobotoolbox dia ahafahanao misintona endrika napetraka avy amin'ny KoboToolbox mankany amin'ny findainao ary mandefa angona voaangona amin'ny alàlan'ny fampiharana miverina any amin'ny mpizara. Ao amin'ny efijery an-trano, safidio ny ""Get Blank Form.""Tokony hiseho ny lisitry ny endrika fanadihadiana nataonao rehetra. Tsindrio ""Safidio Ny Rehetra"" mba handefasana ny endrika fanadihadiana rehetra amin'ny fampiharana, na safidio ireo tianao hananana amin'ny fisafidianana azy ireo amin'ny tanana. Avy eo tsindrio ""Mifidiana.""Mba hampielezana ny fanadihadiana, safidio Ny"" Fenoy Ny Endrika Banga.”"
