key,id
t1.25,"Nama admin2 dan admin3 digabungkan tanpa spasi dan tanpa tanda baca, hanya garis bawah.Admin3 adalah tingkat administrasi tertinggi setelah admin2 (yaitu desa)."
t1.26,"Nama admin3, tingkat administrasi tertinggi setelah admin2 (yaitu desa) dengan spasi dan tanda baca diperbolehkan. Harap jangan mengubah label kecuali benar-benar diperlukan, karena penggabungan didasarkan pada ini."
t1.27,Admin1 nama dengan spasi dan tanda baca diperbolehkan. Ini ditarik dari admin1_ref dan diisi secara otomatis berdasarkan admin2 yang dipilih.
t1.28,"Nama Admin1 tanpa spasi dan tanpa tanda baca, hanya garis bawah. Ini ditarik dari admin1_ref dan diisi secara otomatis berdasarkan admin2 yang dipilih"
t1.29,"Bendera akan berwarna merah jika nilai"" admin2 "" tidak ada di admin2_ref."
t1.30,"Nama Admin2 dengan spasi dan tanda baca diperbolehkan. Daftar tarik-turun terhubung ke kolom ""label"" di admin2_ref."
t1.31,"Nama Admin2 tanpa spasi dan tanpa tanda baca, hanya garis bawah. Ini ditarik dari admin2_ref dan diisi secara otomatis berdasarkan admin2 yang dipilih."
t1.34,Lintang admin3
t1.35,Bujur admin3
t1.38.1,
t1.38.2,
t1.38.3,
t1.38.4,
t1.40,"Nama pembeli tanpa spasi dan tanpa tanda baca, hanya garis bawah"
t1.41,"Nama pembeli dengan spasi dan tanda baca diperbolehkan. Harap jangan mengubah label kecuali benar-benar diperlukan, karena penggabungan didasarkan pada ini."
t1.42,"Jenis kelamin pembeli; 'male' (pria), 'female' (wanita), 'nonbinary' (non biner) atau 'business_nogender' (bisnis_nogender)"
t1.43,
t1.44,"Admin1 nama tempat pembeli membeli, dengan spasi dan tanda baca diperbolehkan. Ini ditarik dari admin1_ref dan diisi secara otomatis berdasarkan admin3_ref_name yang dipilih."
t1.45,"Admin2 nama tempat pembeli membeli, dengan spasi dan tanda baca diperbolehkan. Ini ditarik dari admin2_ref dan diisi secara otomatis berdasarkan admin3_ref_name yang dipilih."
t1.46,"Admin3 nama tempat pembeli membeli, dengan spasi dan tanda baca diperbolehkan. Ini ditarik dari admin3_ref dan diisi secara otomatis berdasarkan admin3_ref_name yang dipilih."
t1.47,"Nama admin2 dan admin3 digabungkan tanpa spasi dan tanpa tanda baca, hanya garis bawah.Daftar tarik-turun terhubung ke kolom ""nama"" di admin3_ref."
t1.48,"Bendera akan berwarna merah jika nilai"" admin3_ref_name "" tidak ada di admin3_ref."
t1.52,"Nama nelayan tanpa spasi dan tanpa tanda baca, hanya garis bawah"
t1.53,"Nama nelayan dengan spasi dan tanda baca diperbolehkan. Harap jangan mengubah label kecuali benar-benar diperlukan, karena penggabungan didasarkan pada ini."
t1.54,"Jenis kelamin nelayan; 'male' (pria), 'female' (wanita), 'nonbinary' (non biner) atau 'business_nogender' (bisnis_nogender)"
t1.55,
t1.56,"Admin1 nama tempat nelayan mendaratkan tangkapannya, dengan spasi dan tanda baca diperbolehkan. Ini ditarik dari admin1_ref dan diisi secara otomatis berdasarkan admin3_ref_name yang dipilih."
t1.57,"Admin2 nama tempat nelayan mendaratkan tangkapannya, dengan spasi dan tanda baca diperbolehkan. Ini ditarik dari admin2_ref dan diisi secara otomatis berdasarkan admin3_ref_name yang dipilih."
t1.58,"Admin3 nama tempat nelayan mendaratkan tangkapannya, dengan spasi dan tanda baca diperbolehkan. Ini ditarik dari admin3_ref dan diisi secara otomatis berdasarkan admin3_ref_name yang dipilih."
t1.64,"Nama pengumpul data tanpa spasi dan tanpa tanda baca, hanya garis bawah"
t1.65,Nama pengumpul data dengan spasi dan tanda baca diperbolehkan.
t1.66,"Jenis kelamin pengumpul data; 'male' (pria), 'female' (wanita), 'nonbinary' (non biner) atau 'business_nogender' (bisnis_nogender)"
t1.69,"Pilih ""Ya"" jika Anda ingin pengumpul data muncul di menu tarik-turun untuk formulir pemantauan pendaratan Kobo."
t1.70,"Pilih ""Ya"" jika Anda ingin pengumpul data muncul di menu tarik-turun untuk formulir profil pendaratan Kobo"
t1.71,"Pilih ""Ya"" jika Anda ingin pengumpul data muncul di menu tarik-turun untuk formulir survei rumah tangga Kobo"
t1.72,"Pilih ""Ya"" jika Anda ingin pengumpul data muncul di menu tarik-turun untuk formulir profil komunitas Kobo"
t1.75,"Nama tempat pemancingan tanpa spasi dan tanpa tanda baca, hanya garis bawah"
t1.76,"Nama tempat penangkapan ikan dengan spasi dan tanda baca diperbolehkan. Harap jangan mengubah label kecuali benar-benar diperlukan, karena penggabungan didasarkan pada ini."
t1.81,Garis lintang tempat penangkapan ikan
t1.82,Garis bujur dari tempat penangkapan ikan
t1.85,"Nama lokal roda gigi tanpa spasi dan tanpa tanda baca, hanya garis bawah"
t1.86,"Nama lokal roda gigi dengan spasi dan tanda baca diperbolehkan. Harap jangan mengubah label kecuali benar-benar diperlukan, karena penggabungan didasarkan pada ini."
t1.87,"Nama roda gigi dalam bahasa Inggris tanpa spasi dan tanpa tanda baca, hanya garis bawah. Ini adalah daftar dropdown yang telah ditentukan sebelumnya. Silakan pilih salah satu yang paling sesuai dengan perlengkapan lokal, atau beri komentar jika Anda tidak yakin."
t1.88,Deskripsi roda gigi
t1.89,"Spesies mengelompokkan target roda gigi. Jika satu roda gigi menargetkan beberapa spesies, buat baris data baru untuk setiap kelompok spesies. Daftar tarik-turun terhubung ke kolom ""species_group"" di species_ref."
t1.90,"Bendera akan berwarna merah jika ""species_group"" yang dipilih tidak ada di species_ref."
t1.95,"Nama lokasi pendaratan tanpa spasi dan tanpa tanda baca, hanya garis bawah"
t1.96,Nama lokasi pendaratan dengan spasi dan tanda baca diperbolehkan
t1.103,"Nama unik area manajemen dengan spasi dan tanda baca diperbolehkan. Harap jangan mengubah nama kecuali benar-benar diperlukan, karena penggabungan didasarkan pada ini."
t1.104,
t1.104.1,
t1.104.2,
t1.104.3,
t1.104.4,
t1.105,
t1.105.5,
t1.106,
t1.106.1,
t1.106.2,
t1.107,
t1.107.1,
t1.108,
t1.109,Luas areal yang dikelola diukur dalam hektare (ha)
t1.110,Tanggal penutupan area yang dikelola
t1.111,Tanggal pembukaan area yang dikelola
t1.112,Garis lintang wilayah manajemen
t1.113,Bujur wilayah pengelolaan
t1.116,"Nama mitra / organisasi tanpa spasi dan tanpa tanda baca, hanya garis bawah"
t1.117,"Nama mitra / organisasi dengan spasi dan tanda baca diperbolehkan. Harap jangan mengubah label kecuali benar-benar diperlukan, karena penggabungan didasarkan pada ini."
t1.118,"Kelompok spesies tempat mitra mengumpulkan data. Daftar tarik-turun terhubung ke kolom ""species_group"" di species_ref. Pilih semua grup jika mereka ingin semua spesies di species_ref muncul."
t1.122,"Nama mitra tanpa spasi atau tanda baca, hanya garis bawah. Dropdown spesies difilter oleh mitra. Beberapa negara memiliki banyak mitra yang berbagi daftar spesies. Dalam hal ini, Anda akan melihat kode negara alih-alih mitra, dan seluruh daftar spesies akan ditampilkan untuk setiap mitra di negara tersebut, kecuali grup spesies tertentu ditentukan di kolom ""species_group"" di org_ref."
t1.123,Jenis habitat yang terkait dengan spesies
t1.124,"Nama lokal dan nama spesies digabungkan dengan garis bawah, tanpa tanda baca atau spasi lainnya."
t1.125,Nama lokal dengan nama spesies dalam tanda kurung
t1.126,"Spesies dikategorikan ke dalam kelompok berdasarkan biologinya tanpa spasi atau tanda baca, hanya garis bawah. Bidang ini digunakan untuk membantu memfilter pilihan jawaban tertentu di Kobo."
t1.127,"Bendera akan berwarna merah jika ""species_group"" yang dipilih tidak direferensikan di gear_ref. Itu berarti semua roda gigi yang terdaftar di gear_ref akan muncul untuk grup spesies ini. Untuk hanya menampilkan roda gigi yang menargetkan grup spesies ini, harap tambahkan grup spesies ke gear_ref."
t1.128,Nama spesies lokal dengan spasi dan tanda baca diperbolehkan
t1.129,
t1.130,Nama spesies bahasa Inggris umum dengan spasi dan tanda baca diperbolehkan
t1.131,Nama keluarga suatu spesies dengan spasi dan tanda baca diperbolehkan
t1.132,"Nama ilmiah spesies dengan spasi dan tanda baca diperbolehkan. Jika spesiesnya tidak diketahui, genus atau famili juga dapat dimasukkan. Jika hanya genus yang diketahui, ketikkan nama genus diikuti dengan ""sp"" (berlawanan dengan ""spp"" atau sp.”). Jika hanya famili yang diketahui, ketikkan nama famili tersebut (yaitu Lutjanidae)."
t1.134,"Terjemahan bahasa Inggris untuk ""tambah baru"", ""tidak tahu"", ""tidak dijual"", dll."
t1.135,"Terjemahan bahasa negara untuk ""tambah baru"", ""tidak tahu"", ""tidak dijual"", dll."
t1.136,Lembar referensi terjemahan akan digabungkan untuk muncul di dropdown yang sesuai di Kobo
t1.138,"Nama mitra tanpa spasi atau tanda baca, hanya garis bawah."
t1.139,Harga minimum berdasarkan species_group
t1.140,Harga maksimum berdasarkan species_group
t1.141,"Kelompok spesies tempat peringatan min / maks berlaku. Untuk menambahkan grup baru, beri komentar dan beri tahu BFO."
t1.143,Harga per kg atau harga per individu (peringatan berat dan panjang spesies diterapkan di bagian belakang melalui data dari literatur)
faq,Pertanyaan yang Sering Diajukan:
q1,"Setelah saya menambahkan admin1 baru, berapa lama waktu yang dibutuhkan sebelum muncul di dropdown untuk admin2?"
a1,"Ini akan memakan waktu sekitar 15 menit sebelum entri baru tersedia di menu tarik-turun dinamis. Ini berlaku untuk dropdown admin2 di admin3_ref, dropdown species_group di gear_ref, dropdown admin3 di buyer_ref, fisher_ref, data_collector, dll. Lihat Gambar 5 untuk daftar lengkap dropdown dinamis dan alur kerjanya melalui file referensi."
q2,"Setelah saya menambahkan atau memperbarui file referensi, berapa lama waktu yang dibutuhkan sebelum pembaruan muncul di survei Kobo?"
a2,Anda akan melihat formulir Kobo yang diperbarui dalam waktu sekitar 12-24 jam.
q3,"Bagaimana seharusnya nama pembeli, nelayan, dan pengumpul data dicatat?"
a3,"Idealnya, nama harus seunik mungkin dengan individu tersebut dan menyertakan nama depan, nama belakang, dan nama panggilannya. Jika seseorang tidak ingin membagikan nama belakang lengkapnya, Anda juga dapat menggunakan inisial pertama atau huruf pertama dari nama belakangnya."
fig5,Koneksi dropdown dinamis antara file referensi.
