key,sw
fig3,Kielelezo 3: Mfano wa jopo la maelezo la admin2_ref katika Maoni ya Dynamic view
step4,"Hatua ya 4: Jibu maombi ya sasisho wakati takwimu haipo au sio sahihi, au kujibu maoni."
point9,"Ikiwa kuna taarifa isiyokamilika au isiyo sahihi ambayo ni muhimu kwa kujaza orodha kunukuu za Kobo au kwa kuunganisha, au ikiwa maoni yametolewa kwenye karatasi, ombi la kusasisha litatumwa kwa watumiaji wote wanaohusika, likilazimisha wasasishe taarifa au kujibu maoni (Kielelezo 4). Kwa kawaida, kila mtu anayepata kufikia faili za kumbukumbu atapokea ombi la kusasisha."
point10,"Utaona muhtasari wa data inayohitaji kusasishwa au kujibiwa chini ya ujumbe wa barua pepe, lakini hutaweza kusasisha takwimu yoyote moja kwa moja kwenye barua pepe."
point10.1,"Chini ya barua pepe, kuna kiungo cha ""Nenda kwenye karatasi""; hata hivyo, karatasi ya msingi ina upatikanaji mdogo. Tafadhali kagua takwimu yako au ujibu maoni kupitia ombi Wazi."
point11,"Bonyeza kitufe cha ""Fungua Ombi"" katika ujumbe wa barua pepe."
point12,Dirisha jipya la kivinjari litafunguka lenye muundo wa fomu kwa kila ingizo (Kielelezo 5)
point13,Pitia sehemu za BFO na ujaze sehemu zinazoweza kuhaririwa.
point14,Bofya inayofuata chini ya skrini ili upitie kila ingizo linalohitaji kusasishwa.
point15,"Ili kuruka ingizo (kwa mfano, ukiwa huna uhakika na jibu la kuchagua), bofya “Ijayo” bila kuchagua kitu kwenye safu zinazoweza kuhaririwa. Ingizo linalofuata litakalohitaji kurekebishwa litatokea."
point16,"Ikiwa unahitaji kutoka kwenye ukurasa au kusitisha kabla ya kuhakikisha maingizo yote yamesasishwa, uchaguzi wako utalindwa wakati ujao utakapoanza tena ombi. Unapofungua kuendelea, bonyeza tu “Ijayo” mpaka upate ingizo linalohitaji kurekebishwa."
point17,"Unapofika kwenye ingizo mwisho, bonyeza ""Imekamilika"". Ujumbe ibukizi utaonekana ukiuliza ikiwa uko Tayari kuwasilisha sasisho lako?’:"
point17.1,"Bofya ""Rudi nyuma"" ikiwa unahitaji kukagua"
point17.2,"Bofya ""Wasilisha Sasisho"" ili kuwasilisha masasisho yako."
point17.3,Marekebisho yako yanaongezwa kiotomatiki kwenye faili lza kumbukumbu na unaweza kuyatazama kwenye Dynamic view.
p2,"Kama wakati wowote utakutana na makosa yoyote, una maswali, au unahitaji msaada kwa ajili ya kusasisha faili za kumbukumbu, tafadhali wasiliana nasi kupitia katie@barefootocean.org au brittany@barefootocean.org."
fig4,"Kielelezo 4: Mfano wa barua pepe ya ""Ombi la Usasishaji"" wakati taarifa zinahitaji kusahihishwa au maoni yanahitaji kujibiwa."
table1,"Jedwali 1: Sehemu kuu katika kila moja ya faili za kumbukumbu. Aina ya sehemu “BFO” inasimamiwa na Barefoot Ocean na haiwezi kuhaririwa. Ili kuomba mabadiliko yoyote kwenye sehemu za “BFO,” tafadhali acha maoni. Ni sehemu zenye aina ya sehemu “kurekebishwa” pekee ndizo zinazoweza kuhaririwa. Aina ya sehemu “auto” inajazwa kiotomatiki."
t1.1,Jina la sehemu
t1.2,Maelezo ya sehemu
t1.3,Aina ya sehemu
t1.4,Faili zote za kumbukumbu
t1.5,"Safu hii inahifadhi maoni ya mwisho yaliyotolewa kwa safu hiyo. Ili kuona majadiliano yote ya maoni kwa safu hiyo, bonyeza tu sehemu yoyote kwenye safu. Jopo la maelezo litatokea, kama ilivyo kwenye Kielelezo 3. Bonyeza kwenye kichupo cha ""Maoni"" kuona maoni yote kwa safu hiyo."
t1.6,automatiki
t1.7,inaweza kuhaririwa
t1.8,Tarehe ya mwisho ya kuhariri
t1.9,Aliyefanya mabadiliko ya mwisho
t1.10,"Nambari ya nchi ya ISO, ambayo ni nambari ya mchanganyiko wa herufi inayotambuliwa kimataifa"
t1.11,"Jina la admin1, ngazi ya juu zaidi ya utawala baada ya nchi (yaani, mkoa/ kaunti ndogo) bila nafasi na bila alama za uakifishaji, underscore tu."
t1.12,"Jina la admin1, ngazi ya juu zaidi ya utawala baada ya nchi (yaani, mkoa) na inaruhusiwa kuwa na nafasi na alama za uakifishaji. Tafadhali usibadilishe lebo isipokuwa kama ni lazima kabisa, kwani uunganishaji unategemea hii."
t1.13,"Bendera itakuwa nyekundu kama ""mshirika"" nambari haipo katika org_ref"
t1.14,"Jina la mshirika bila nafasi na hakuna uakifishaji, ila alama ya kusisitiza tu. Orodha ya kushuka imeunganishwa na safu ya ""jina"" kwenye org_ref."
t1.15,"Chagua ""Ndiyo"" ikiwa takwimu zinakusanywa kwa sasa kutoka kwa mtu/eneo hili. Ikiwa takwimu hazikusanywi tena kutoka kwa mtu/eneo hili, na unataka kuificha kutoka kwa orodha ya kushuka ya Kobo, chagua ""Hapana."""
t1.16,"Chagua ""Ndiyo"" ikiwa ungependa kuondoa rekodi. Rekodi zinapaswa kuondolewa tu ikiwa jina si sahihi au ni nakala ya rekodi iliyopo/inajirudia."
t1.18,"Jina la admin2, ngazi ya juu ya utawala baada ya admin1 (yaani kaunti) bila nafasi na hakuna uakifishaji ila alama ya kusisitiza tu"
t1.19,"Jina la admin2, ngazi ya juu ya utawala baada ya admin1 (yaani Wilaya/Kaunti) na nafasi na alama za alama kuruhusiwa. Tafadhali usibadilishe lebo isipokuwa lazima kabisa, kwani kujiunga kunategemea hii."
t1.20,"Bendera itakuwa nyekundu kama ""admin1_ref_name"" nambari haipo katika admin1_ref"
t1.21,"Jina la admin1 bila nafasi wala alama ya uakifishaji, badala yake kutumia alama ya chini (underscore). Orodha ya kushuka inahusishwa na safu ya ""jina"" katika admin1_ref."
t1.25,"Jina la admin2 na admin3 vimeunganishwa bila nafasi wala alama ya uakifishaji, badala yake kutumia alama ya chini (underscore). Admin3 ni ngazi ya juu zaidi ya utawala baada ya admin2 (yaani, kijiji)."
t1.26,"Jina la admin3, ngazi ya juu zaidi ya utawala baada ya admin2 (yaani, kijiji) ambapo nafasi na alama za uakifishaji zinaruhusiwa. Tafadhali usibadilishe lebo isipokuwa kama ni lazima kabisa, kwani uunganishaji unategemea hii."
t1.27,Jina la admin1 lenye nafasi na alama za uakifishaji zinazoruhusiwa. Hii inachukuliwa kutoka admin1_ref na kujazwa kiotomatiki kulingana na admin2 iliyochaguliwa
t1.28,"Jina la admin1 bila nafasi wala alama ya uakifishaji, badala yake kutumia alama ya chini (underscore). Hii inachukuliwa kutoka admin1_ref na kujazwa kiotomatiki kulingana na admin2 iliyochaguliwa."
t1.29,"Bendera itakuwa nyekundu ikiwa nambari ya ""admin2"" haipo katika admin2_ref."
t1.30,"Jina la admin2 lenye nafasi na alama za uakifishaji zinazoruhusiwa. Orodha ya kushuka inahusishwa na safu ya ""lebo"" katika admin2_ref."
t1.31,"Jina la admin2 bila nafasi wala alama ya uakifishaji, badala yake kutumia alama ya chini (underscore). Hii inachukuliwa kutoka admin2_ref na kujazwa kiotomatiki kulingana na admin2 iliyochaguliwa."
t1.34,Latitudo ya admin3
t1.35,Longitudo ya admin3
t1.38.1,"Chagua ""Ndio"" ikiwa unataka admin3 ionekane kwenye kushuka kwa Fomu Ya Ufuatiliaji Wa Kutua Kwa Kobo."
t1.38.2,"Chagua ""Ndiyo"" ikiwa unataka admin3 ionekane kwenye orodha ya kushuka ya fomu ya kuchambua ardhi ya Kobo."
t1.38.3,"Chagua ""Ndiyo"" ikiwa unataka admin3 ionekane kwenye orodha ya kushuka kwa Fomu Ya wasifu Wa Jamii Ya Kobo."
t1.38.4,"Chagua ""Ndiyo"" ikiwa unataka admin3 ionekane kwenye orodha ya kushuka kwa Fomu ya Uchunguzi Wa Kaya Ya Kobo."
t1.40,"Jina la mnunuzi bila nafasi wala alama ya uakifishaji, badala yake kutumia alama ya chini (underscore)."
t1.41,"Jina la mnunuzi linaruhusiwa kuwa na nafasi na alama za uakifishaji. Tafadhali usibadilishe lebo isipokuwa kama ni lazima kabisa, kwani uunganishaji unategemea hii."
t1.42,"Jinsia ya mnunuzi; 'mwanamume', 'mwanamke', 'siyo ya kiume wala kike' au 'biashara_bilajinsia'"
t1.43,"Bendera itakuwa nyekundu ikiwa nambari ya jinsia ya mnunuzi ni tofauti kwa mnunuzi huyo huyo (yaani, ikiwa Raymond Scott katika admin3 = Boston ana jinsia ya kiume, lakini Raymond Scott katika admin3 = Miami ana jinsia ya kike, bendera itakuwa nyekundu kwa sababu jinsia siyo sawa kwa mnunuzi huyo huyo)."
t1.44,"Jina la admin1 ambapo mnunuzi hununua, lenye nafasi na alama za uakifishaji zinazoruhusiwa. Hii inachukuliwa kutoka admin1_ref na kujazwa kiotomatiki kulingana na jina la admin3_ref lililochaguliwa."
t1.45,"Jina la admin2 ambapo mnunuzi hununua, lenye nafasi na alama za uakifishaji zinazoruhusiwa. Hii inachukuliwa kutoka admin2_ref na kujazwa kiotomatiki kulingana na jina la admin3_ref lililochaguliwa."
t1.46,"Jina la admin3 ambapo mnunuzi hununua, lenye nafasi na alama za uakifishaji zinazoruhusiwa. Hii inachukuliwa kutoka admin3_ref na kujazwa kiotomatiki kulingana na jina la admin3_ref lililochaguliwa."
t1.47,"Jina la Admin2 na Admin3 vimeunganishwa bila nafasi wala alama ya uakifishaji, badala yake kutumia alama ya chini (underscore). Orodha ya kushuka inahusishwa na safu ya ""jina"" katika admin3_ref."
t1.48,"Bendera itakuwa nyekundu kama ""admin3_ref_name"" nambari haipo katika admin3_ref."
t1.52,"Jina la mvuvi bila nafasi wala alama ya uakifishaji, badala yake kutumia alama ya chini (underscore)."
t1.53,"Jina la mvuvi ambalo linaruhusiwa kuwa na nafasi na alama za uakifishaji. Tafadhali usibadilishe lebo isipokuwa kama ni lazima kabisa, kwani uunganishaji unategemea hii."
t1.54,"Jinsia ya mvuvi; 'mwanamume', 'mwanamke', 'siyo ya kiume wala kike' au 'biashara_bilajinsia'"
t1.55,"Bendera itakuwa nyekundu ikiwa thamani ya jinsia ya mvuvi ni tofauti kwa mvuvi huyo huyo (yaani, ikiwa Raymond Scott katika admin3 = Boston ana jinsia ya kiume, lakini Raymond Scott katika admin3 = Miami ana jinsia ya kike, bendera itakuwa nyekundu kwa sababu jinsia siyo sawa kwa mvuvi huyo huyo)."
t1.56,"Jina la admin1 ambapo mvuvi anapeleka anatua pato lake, lenye nafasi na alama za uakifishaji zinazoruhusiwa. Hii inachukuliwa kutoka admin1_ref na kujazwa kiotomatiki kulingana na jina la admin3_ref lililochaguliwa."
t1.57,"Jina la admin2 ambapo mvuvi anatua pato lake, lenye nafasi na alama za uakifishaji zinazoruhusiwa. Hii inachukuliwa kutoka admin2_ref na kujazwa kiotomatiki kulingana na jina la admin3_ref lililochaguliwa."
t1.58,"Jina la admin3 ambapo mvuvi anapelekaanatua pato lake, lenye nafasi na alama za uakifishaji zinazoruhusiwa. Hii inachukuliwa kutoka admin3_ref na kujazwa kiotomatiki kulingana na jina la admin3_ref lililochaguliwa."
t1.64,"Jina la mkusanyaji wa takwimu bila nafasi wala alama ya uakifishaji, ila kutumia alama ya chini (underscore)."
t1.65,Jina la mkusanyaji wa takwimu ambalo linaruhusiwa kuwa na nafasi na alama za uakifishaji.
t1.66,"Jinsia ya mkusanyaji wa takwimu; 'mwanamume', 'mwanamke', 'siyo ya kiume wala kike' au 'biashara_bilajinsia'"
t1.69,"Chagua ""Ndiyo"" ikiwa unataka mkusanyaji wa takwimu aonekane kwenye orodha ya kushuka kwa fomu ya ufuatiliaji wa kutua ya Kobo."
t1.70,"Chagua ""Ndiyo"" ikiwa unataka mkusanyaji wa takwimu aonekane kwenye orodha ya kushuka  kwa Fomu Ya wasifu Wa Kutua Kwa Kobo"
t1.71,"Chagua ""Ndiyo"" ikiwa unataka mkusanyaji wa takwimu aonekane kwenye orodha ya kushuka  kwa Fomu ya Uchunguzi Wa Kaya Ya Kobo"
t1.72,"Chagua ""Ndiyo"" ikiwa unataka mkusanyaji wa takwimu aonekane kwenye orodha ya kushuka kwa Fomu Ya wasifu Wa Jamii Ya Kobo"
t1.75,"Jina la eneo la uvuvi bila nafasi wala alama ya uakifishaji, badala yake kutumia alama ya chini (underscore)."
t1.76,"Jina la eneo la uvuvi ambalo linaruhusiwa kuwa na nafasi na alama za uakifishaji. Tafadhali usibadilishe lebo isipokuwa kama ni lazima kabisa, kwani uunganishaji unategemea hii."
t1.81,Latitudo ya eneo la uvuvi
t1.82,Longitudo ya eneo la uvuvi
t1.85,Jina_la_zana_bila_nafasia_alama_za_matamshi_tu_vielekezi.
t1.86,"Jina la kifaa kwa lugha ya kawaida likiwa na nafasi na alama za uakifishaji zinaruhusiwa. Tafadhali usibadili lebo isipokuwa tu inapolazimu, kwani kuunganishwa kunategemea hii."
t1.87,"Jina la kifaa kwa Kiingereza bila nafasi na bila alama za uakifishaji, isipokuwa mistari ya chini. Hii ni orodha iliyoamuliwa mapema. Tafadhali chagua ile inayofaa jina la zana ya eneo, au toa maoni ikiwa huna uhakika."
t1.88,Maelezo ya zana
t1.89,"Kundi la spishi ambalo zana inalenga. Ikiwa kifaa kimoja kinawalenga spishi nyingi, tengeneza safu mpya ya takwimu kwa kila kundi la spishi. Orodha ya kushuka chini imeunganishwa na safu ya ""kundi_la_spishi"" katika marejeleo ya spishi"
t1.90,"Bendera itakuwa nyekundu kama ""kundi la_spishi"" kuchaguliwa haipo katika species_ref."
t1.95,"Jina la eneo la kutua bila nafasi na bila alama za uakifishaji, isipokuwa mistari ya chini"
t1.96,Jina la tovuti ya kutua na nafasi na punctuation kuruhusiwa
t1.103,"Jina la kipekee la eneo la usimamizi na nafasi na punctuation kuruhusiwa. Tafadhali usibadilishe jina isipokuwa lazima kabisa, kwani kujiunga kunategemea hii."
t1.104,"Jina la kipekee la eneo la usimamizi na tarehe za ufanisi. Zaidi hasa, ina taarifa zifuatazo kutengwa na underscore: management_id, management_method, close_date na open_date."
t1.104.1,Orodha ya admin3s kwamba samaki ndani ya eneo la usimamizi.
t1.104.2,"Bendera itakuwa nyekundu kama moja ya admin3s waliotajwa katika ""admin3_fish"" safu haipo katika admin3_ref."
t1.104.3,Orodha ya admin3s ambayo ina jukumu katika kusimamia tukio la usimamizi.
t1.104.4,"Bendera itakuwa nyekundu kama moja ya admin3s waliotajwa katika ""admin3_govern"" safu haipo katika admin3_ref."
t1.105,"Orodha ya maeneo ya uvuvi yanayohusiana na tukio la usimamizi. Orodha ya kushuka imeunganishwa na safu ya ""jina"" katika fishing_ground_ref."
t1.105.5,"Bendera itakuwa nyekundu kama moja ya maeneo ya uvuvi waliotajwa katika ""management_fishing_ground"" haipo katika fishing_ground_ref."
t1.106,"Aina ya mbinu ya usimamizi kutumika wakati wa tukio. Orodha iliyofafanuliwa ni pamoja na: Kufungwa Kwa Muda, Hakuna Eneo La Kuchukua, Kizuizi Cha Gia, Ufikiaji Unaosimamiwa, Marufuku Ya Kuvuna au Marufuku ya Ukataji miti."
t1.106.1,"Aina ya kanuni za kisheria. Orodha predefined ni pamoja na: kijiji kichwa kanuni, kijiji kichwa amri, pamoja kijiji kichwa kanuni au hakuna."
t1.106.2,"Lengo aina kundi kwa ajili ya eneo kusimamiwa. Hii inaweza kujumuisha 'wote', moja au makundi ya aina nyingi. Orodha ya kushuka imeunganishwa NA MASTER species_ref na inajumuisha vikundi vya spishi kutoka kwa washirika wote."
t1.107,"Aina lengo kwa ajili ya eneo kusimamiwa. Hii inaweza kujumuisha 'All_species', moja au aina nyingi za kisayansi. Orodha ya kushuka imeunganishwa NA MASTER species_ref na inajumuisha spishi kutoka kwa washirika wote."
t1.107.1,"Bendera itakuwa nyekundu kama ""target_species"" kuchaguliwa si kumbukumbu katika species_ref mpenzi."
t1.108,"Lengo makazi kwa ajili ya eneo kusimamiwa. Orodha ya kushuka iliyofafanuliwa ni pamoja na uchaguzi wa makazi: 'reef, seagrass, mangrove, mud_flat, mchanga, deepwater au nyingine'."
t1.109,Ukubwa wa eneo lililosimamiwa lililopimwa kwa hekta (ha)
t1.110,Tarehe ya kufunga ya eneo lililosimamiwa
t1.111,Tarehe ya ufunguzi wa eneo lililosimamiwa
t1.112,Latitudo ya eneo la usimamizi
t1.113,Longitudo ya eneo la usimamizi
t1.116,"Jina la mshirika/shirika bila nafasi na hakuna alama za alama, inasisitiza tu"
t1.117,"Jina la mpenzi/shirika na nafasi na punctuation kuruhusiwa. Tafadhali usibadilishe lebo isipokuwa lazima kabisa, kwani kujiunga kunategemea hii."
t1.118,"Aina makundi mpenzi hukusanya data juu ya. Orodha ya kushuka ni kushikamana na"" species_group "" safu katika species_ref. Chagua vikundi vyote ikiwa wanataka spishi zote katika species_ref zionekane."
t1.122,"Jina la mshirika bila nafasi au uakifishaji, inasisitiza tu. Kushuka kwa spishi huchujwa na mwenzi. Nchi fulani zina washirika wengi ambao hushiriki orodha ya spishi. Katika kesi hiyo, utaona nambari ya nchi badala ya mwenzi, na orodha nzima ya spishi itaonyesha kwa kila mwenzi katika nchi hiyo, isipokuwa vikundi fulani vya spishi vimeainishwa kwenye safu ya ""species_group"" katika org_ref."
t1.123,Aina ya makazi inayohusishwa na spishi
t1.124,"Jina la mahali na jina la spishi pamoja na alama ya chini, bila alama nyingine za alama au nafasi."
t1.125,Jina la mahali hapo lenye jina la spishi katika mabano
t1.126,"Aina zilizowekwa katika vikundi kulingana na biolojia yao bila nafasi au alama za alama, zinasisitiza tu. Sehemu hii hutumiwa kusaidia kuchuja chaguzi fulani za jibu Huko Kobo."
t1.127,"Bendera itakuwa nyekundu kama ""species_group"" kuchaguliwa si kumbukumbu katika gear_ref. Hiyo ina maana gear zote waliotajwa katika gear_ref itaonekana kwa kundi hili aina. Ili kuonyesha tu gia zinazolenga kikundi hiki cha spishi, tafadhali ongeza kikundi cha spishi kwenye gear_ref."
t1.128,Jina la aina ya ndani na nafasi na punctuation kuruhusiwa
t1.129,"Jina la admin1, 2 au 3 bila nafasi au alama za alama, inasisitiza tu. Orodha ya kushuka imeunganishwa na safu ya ""jina"" katika admin_ref inayolingana. * Shamba hili litaonyesha tu kwa washirika ambao wanataka kushuka kwa spishi kuchujwa na msimamizi huyo.*"
t1.130,Jina la kawaida la aina ya kiingereza na nafasi na punctuation kuruhusiwa
t1.131,Jina la familia la spishi iliyo na nafasi na uakifishaji inaruhusiwa
t1.132,"Jina la kisayansi la aina na nafasi na punctuation kuruhusiwa. Ikiwa spishi haijulikani, jenasi au familia pia inaweza kuingizwa. Ikiwa tu jenasi inajulikana, type jina la jenasi ikifuatiwa na"" sp ""(tofauti na"" spp "" au sp.”). Ikiwa tu familia inajulikana, type jina la familia (yaani Lutjanidae)."
t1.133.1,Upeo wa urefu wa urefu (cm) kutumika kwa maonyo ya thamani. Angalia lw_ref kwa habari zaidi.
t1.133.2,Kiwango cha chini urefu kikomo (cm) kutumika kwa ajili ya onyo thamani. Angalia lw_ref kwa habari zaidi.
t1.133.3,"Kiwango cha juu cha uzito (kg) kutumika kwa ajili ya onyo thamani kulingana na 'length_limit_max', 'a', na ' b ' maadili, auto-mahesabu katika Smartsheet kutumia formula ""=(([length_limit_max]@row ^ b@row) * a@row) / 1000"". Angalia lw_ref kwa habari zaidi."
t1.133.4,"Kiwango cha chini cha uzito (kg) kutumika kwa ajili ya onyo thamani kulingana na 'length_limit_min', 'a', na 'b' maadili, auto-mahesabu katika Smartsheet kutumia formula""=(([length_limit_min]@row ^ b@row) * a@row) / 1000"". Angalia lw_ref kwa habari zaidi."
t1.133.5,"Wastani wa uzito (kg), auto-mahesabu Katika Smartsheet kutumia formula ""=([weight_limit_max]@row + [weight_limit_min]@row) / 2"". Angalia lw_ref kwa habari zaidi."
t1.134,"Tafsiri ya kiingereza ya ""ongeza mpya"", ""usijue"", ""sio kuuzwa"", nk."
t1.135,"Tafsiri ya lugha ya nchi kwa ""ongeza mpya"", ""sijui"", ""si kwa ajili ya kuuza"", nk."
t1.136,Karatasi ya kumbukumbu tafsiri itakuwa ilijiunga na kuonekana katika dropdown sahihi Katika Kobo
t1.138,"Jina la mshirika bila nafasi au uakifishaji, inasisitiza tu."
t1.139,Bei ya chini kulingana na species_group
t1.140,Bei ya juu kulingana na species_group
t1.141,"Kikundi cha spishi onyo la min/max linatumika kwa. Ili kuongeza kikundi kipya, tafadhali toa maoni na ujulishe BFO."
t1.143,Bei kwa kilo au bei kwa kila mtu (aina uzito na urefu maonyo ni kutekelezwa juu ya mwisho nyuma kupitia data kutoka fasihi)
t1.144,"Sehemu ya usindikaji inafafanua jinsi samaki au uti wa mgongo huuzwa. Chaguzi ni pamoja na 'nzima, sehemu_processed, filet, mkia, au fin'."
t1.145,"Jina la jenasi ya aina, inayotokana na kazi rfishbase 'load_taxa()'."
t1.146,"Jina la familia ya aina, sourced kutoka rfishbase kazi 'load_taxa()'."
t1.147,"Jina la kawaida la spishi ya kiingereza na nafasi na alama za alama, inayotokana na fishbase 'comnames' tbl kwa kutumia safu ya safu kuchagua jina linalofaa kwa spishi kutoka kwa majina mengi ya kawaida yanayopatikana."
t1.148,"Aina zilizowekwa katika vikundi kulingana na biolojia yao bila nafasi au alama za alama, zinasisitiza tu. Sehemu hii hutumiwa kusaidia kuchuja chaguzi fulani za jibu Huko Kobo. Chaguo ni pamoja na: 'finfish, ray, eel, shark, kaa, shrimp, kamba, octopus, squid, cuttlefish, bivalve, gastropod, sea_urchin, na sea_cucumber'."
t1.149,"Wastani k thamani ya aina, sourced kutoka rfishbase 'popgrowth' tbl."
t1.150,"Aina ya urefu wa kipimo kwa thamani ya 'avg_k'. Chaguzi ni pamoja na: 'tl = urefu wa jumla, sl = urefu wa kawaida, WD = upana, cl = urefu wa carapace, CW = upana wa carapace, ml = urefu wa vazi, ShL = urefu wa ganda'."
t1.151,"Wastani' a ' thamani kwa ajili ya aina, sourced kutoka rfishbase 'poplw' tbl."
t1.152,"Wastani ' b ' thamani kwa ajili ya aina, sourced kutoka rfishbase 'poplw' tbl."
t1.153,"Marejeo ya 'a' na ' b ' maadili. Chaguzi ni pamoja na: 'Fishbase, SeaLifebase, Jarida makala'."
t1.154,"Aina ya urefu wa kipimo kwa thamani ya 'a_b_type'. Chaguzi ni pamoja na: 'tl = urefu wa jumla, sl = urefu wa kawaida, WD = upana, cl = urefu wa carapace, CW = upana wa carapace, ml = urefu wa vazi, ShL = urefu wa ganda'."
t1.155,"Urefu wa juu wa aina (cm), inayotokana na rfishbase 'popchar' tbl."
t1.156,"Aina ya urefu wa kipimo kwa thamani ya 'lmax'. Chaguzi ni pamoja na: 'tl = urefu wa jumla, sl = urefu wa kawaida, WD = upana, cl = urefu wa carapace, CW = upana wa carapace, ml = urefu wa vazi, ShL = urefu wa ganda'."
t1.157,"Rejea ya thamani ya 'lmax'. Chaguzi ni pamoja na: 'Fishbase, SeaLifebase, Jarida makala'."
t1.158,"Kubadilika' a 'thamani kwa ajili ya aina na 'max_length_type' = sl kubadilisha KWA TL, sourced kutoka rfishbase 'popll' tbl"
t1.159,"Ubadilishaji ' b 'thamani kwa ajili ya aina na 'max_length_type' = sl kubadilisha KWA TL, sourced kutoka rfishbase 'popll' tbl"
t1.160,"Thamani ya urefu wa juu na aina ya urefu = tl, baada ya kubadilisha kwa kutumia maadili ya uongofu."
t1.161,"Kiwango cha Trophic kuhusishwa na aina, sourced kutoka' FoodTroph 'safu katika fishbase 'ecology' tbl. Kulingana na Jedwali LA IKOLOJIA, Troph = 1 + mean troph ya vitu vya chakula. Thamani ni kati ya 2.0-5.0"
t1.162,"Alama ya udhaifu, inayotokana na rfishbase 'species' tbl. Thamani ni kati ya 0-100."
t1.163,"Trophic kundi sourced kutoka MERMAID samaki na benthic sifa rejea. Chaguzi ni pamoja na: 'omnivore, planktivore, herbivore-detritivore, herbivore-macroalgae, piscivore, invertivore-mobile, invertivore-sessile'."
t1.164,"Kazi kundi sourced kutoka MERMAID samaki na sifa benthic rejea. Chaguzi ni pamoja na: 'cropper/grazer, planktivore, detritivore, browser, piscivore, pisci-invertivore, micro-invertivore, macro-invertivore, corallivore, cleaner, spongivore, excavator, scraper'."
t1.165,"Ukubwa wa kikundi unaotokana na samaki WA MERMAID na kumbukumbu ya sifa za benthic. Chaguzi ni pamoja na: 'kikundi kikubwa, kikundi cha kati, kikundi kidogo, jozi, upweke'."
t1.166,KWA SASA INASASISHWA
t1.167,"Urefu katika ukomavu wa aina (cm), inayotokana na rfishbase 'ukomavu' tbl."
t1.168,"Aina ya urefu wa kipimo kwa thamani ya 'lmat'. Chaguzi ni pamoja na: 'tl = urefu wa jumla, sl = urefu wa kawaida, WD = upana, cl = urefu wa carapace, CW = upana wa carapace, ml = urefu wa vazi, ShL = urefu wa ganda'."
t1.169,"Rejea ya thamani ya 'lmat'. Chaguzi ni pamoja na: 'Fishbase, SeaLifebase, Jarida makala'."
t1.170,"Aina ya urefu wa kipimo kwa thamani ya 'final_lmax'. Chaguzi ni pamoja na: 'tl = urefu wa jumla, sl = urefu wa kawaida, WD = upana, cl = urefu wa carapace, CW = upana wa carapace, ml = urefu wa vazi, ShL = urefu wa ganda'."
