key,ceb
point8,"Sa pagbiya sa usa ka comment o sa pagpangutana Sa Nagtiniil team sa bisan unsa nga mga pangutana, pagpili sa ""Comments"" tab sa mga detalye panel. Ang tanan nga mga indibidwal nga ang pakisayran nga file gipaambit, lakip ang Nagtiniil Nga Ocean team, makadawat pahibalo kung gihimo ang usa ka komentaryo, busa dili kinahanglan nga tag bisan unsang partikular nga indibidwal."
fig2,Figure 2: Example view sa admin_ref sa Dinamikong Panglantaw
fig3,Figure 3: Example view sa admin_ref detalye panel sa Dinamikong Panglantaw
step4,"Lakang 4: Tubaga ang mga hangyo sa pag-update kung ang datos nawala o sayup, o aron pagtubag sa usa ka komento."
point9,"Kung adunay dili kompleto o dili husto nga kasayuran nga hinungdanon alang sa pagpopular Sa Mga dropdown sa Kobo o alang sa mga pag-apil, o kung ang usa ka komento gihimo sa sheet, usa ka hangyo sa pag-update ang ipadala sa tanan nga angay nga tiggamit, nga nag-aghat kanila sa pag-update sa kasayuran o pagtubag sa usa ka komento (Figure 4). Pinaagi sa default, ang tanan nga adunay access sa imong mga file sa pakisayran makadawat sa hangyo sa pag-update."
point10,"Ang usa ka preview sa datos nga kinahanglan nga ma-update o matubag makita sa ubos sa mensahe sa email, apan dili ka makahimo sa pag-update sa bisan unsang datos nga direkta sa email"
point10.1,"Sa ilawom sa email, adunay usa ka link alang sa ""Pag-Adto sa sheet""; bisan pa, ang nagpahiping sheet nagpugong sa pag-access. Palihug ribyuha ang imong datos o tubaga ang komento pinaagi sa Bukas nga hangyo."
point11,"I-klik ang ""Open Hangyo"" button sa email nga mensahe."
point12,Ang usa ka bag-ong bintana sa browser sa internet magbukas sa usa ka porma nga sama sa pag-setup alang sa matag entry (Figure 5)
point13,Ribyuha ANG BFO kaumahan ug pun-on ang mga editable kaumahan.
point14,I-klik sunod sa ubos sa screen sa paglihok pinaagi sa matag entry nga kinahanglan nga updated.
point15,"Aron laktawan ang usa ka entry (pananglitan kung dili ka sigurado kung unsang tubag ang pilion) i-klik ang ""Next"" nga wala maghimo usa ka pagpili sa mga ma-edit nga kolum. Ang sunod nga entry nga kinahanglan ma-update magpakita."
point16,"Kung kinahanglan nimo nga mogawas sa panid o mohunong sa wala pa ma-update ang tanan nga mga entry, ang imong mga kapilian kinahanglan maluwas sa sunod nga imong ablihan usab ang hangyo. Sa pag-abli sa pagpadayon sa, lang i-klik ""Next"" hangtud nga imong makita ang usa ka entry nga kinahanglan nga updated."
point17,"Sa diha nga ikaw sa pagkuha sa mga katapusan nga entry, i-klik ""Gibuhat"". Ang usa ka pop-up nga mensahe makita nga nangutana kung Andam ka ba nga isumite ang imong pag-update?’:"
point17.1,"Pag-klik sa"" Balik "" kung kinahanglan nimo nga repasuhon"
point17.2,"I-klik ang ""Submit Update"" sa pagsumiter sa inyong mga updates."
point17.3,Ang imong mga pag update awtomatiko nga nadugang sa file sa pakisayran ug mahimo nimo kini makita sa Dinamikong Panan aw
p2,"Kung sa bisan unsang oras nga makasugat ka bisan unsang mga sayup, adunay mga pangutana, o kinahanglan nga suporta alang sa pag-update sa mga pakisayran nga file, palihug kontaka kami sa barefootinfo@barefootocean.org."
fig4,"Figure 4: Panig-Ingnan ""Update Hangyo"" email sa diha nga impormasyon kinahanglan nga matul-id o comment kinahanglan nga mitubag sa."
table1,"Table 1: ang nag-unang mga natad sa matag usa sa mga pakisayran nga mga file. Ang tipo sa uma nga ""BFO"" gidumala sa Nagtiniil Nga Dagat ug dili ma-edit. Sa paghangyo sa mga kausaban sa bisan unsa sa mga"" BFO "" kaumahan, palihug mobiya sa usa ka comment. Ang mga uma nga adunay tipo sa uma nga ""editable"" mahimong ma-edit. Ang tipo sa uma nga ""awto"" awtomatiko nga gipuy-an."
t1.1,Ngalan sa uma
t1.2,Paghulagway sa uma
t1.3,Matang sa uma
t1.4,Ang tanan nga reference files
t1.5,"Kini nga kolum nagtipig sa katapusang komento nga gihimo alang sa kana nga laray. Aron matan-aw ang tibuuk nga diskusyon sa mga komento alang sa kana nga laray, pag-klik lang bisan diin sa laray. Ang mga detalye sa panel makita, sama sa gihimo sa Figure 3. Pag-klik sa tab nga ""Mga Komento"" aron makita ang tanan nga mga komento alang sa kana nga laray."
t1.6,auto
t1.7,edited
t1.8,Petsa sa katapusan nga pag edit
t1.9,Ang mga tiggamit nga naghimo sa katapusan nga pag-edit
t1.10,Ang code sa nasud sa iso usa ka giila nga code sa kombinasyon sa sulat
t1.11,"Ngalan sa administrasyon 1, ang labing kataas nga lebel sa administratiba pagkahuman sa nasud (ie lalawigan) nga wala 'y lugar ug wala' y punctuation, gihatagan ra og gibug-aton"
t1.12,"Ngalan sa administrasyon 1, ang labing kataas nga lebel sa administratibo pagkahuman sa nasud (ie lalawigan) nga adunay gitugotan nga mga wanang ug punctuation. Palihug ayaw usba ang label gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.13,"Ang bandila mahimong pula kung ang kantidad sa"" partner "" wala maglungtad sa org_ref"
t1.14,"Ngalan sa kauban nga wala 'y mga wanang ug wala' y punctuation, gihatagan ra og gibug-aton. Ang lista sa dropdown konektado sa kolum nga ""ngalan"" sa org_ref."
t1.15,"Pilia ang"" Oo "" kung ang datos nakolekta didto. Kung wala na nimo gikolekta ang datos didto, ug gusto nga itago kini gikan sa Kobo dropdown, pilia ang ""Dili.”"
t1.16,"Pilia ang"" Oo "" kung gusto nimo tangtangon ang administrasyon 1. Ang mga admin 1 kinahanglan nga tangtangon lamang kung ang ngalan sayup o kini usa ka duplicate sa usa ka naglungtad nga rekord. Palihug leave sa usa ka comment mahitungod sa hinungdan sa pagtangtang. Kung ang datos dili na nakolekta didto, pilia ang"" Dili ""gikan sa"" aktibo "" nga kolum."
t1.18,"Ngalan sa administrasyon 2, ang labing kataas nga lebel sa administratibo pagkahuman sa administratibo (ie distrito) nga wala 'y wanang ug wala' y punctuation, gihatagan ra og gibug-aton"
t1.19,"Ngalan sa administrasyon 2, ang labing kataas nga lebel sa administratibo pagkahuman sa administratibo (ie distrito) nga adunay gitugotan nga mga wanang ug punctuation. Palihug ayaw usba ang label gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.20,"Ang bandila mahimong pula kung ang kantidad nga"" admin1_ref_name "" wala maglungtad sa admin1_ref"
t1.21,"Ang ngalan sa admin 1 nga walay luna ug walay punctuation, mga underscore lamang. Ang lista sa dropdown konektado sa kolum nga ""ngalan"" sa admin1_ref."
t1.23,"Pilia ang"" Oo "" kung gusto nimo tangtangon ang administrasyon 2. Ang mga admin 2 kinahanglan nga tangtangon lamang kung ang ngalan sayup o kini usa ka duplicate sa usa ka naglungtad nga rekord. Palihug leave sa usa ka comment mahitungod sa hinungdan sa pagtangtang. Kung ang datos dili na nakolekta didto, pilia ang"" Dili ""gikan sa"" aktibo "" nga kolum."
t1.25,"Ang mga ngalan sa admin 2 ug admin 3 gihiusa nga wala 'y mga wanang ug wala' y punctuation, gihatagan ra og gibug-aton.Ang admin3 mao ang labing kataas nga lebel sa administratibo pagkahuman sa admin 2 (ie baryo)."
t1.26,"Ngalan sa admin3, ang labing kataas nga lebel sa administratibo pagkahuman sa admin 2 (ie baryo) nga adunay mga wanang ug gitugotan nga punctuation. Palihug ayaw usba ang label gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.27,Admin 1 ngalan uban sa luna ug punctuation gitugotan. Kini gikuha gikan sa administr1_ref ug auto nga gipuy-an base sa gipili sa administr2 nga gipili.
t1.28,"Ang ngalan sa admin 1 nga walay luna ug walay punctuation, mga underscore lamang. Kini gikuha gikan sa admin1_ref ug auto nga gipuy an base sa gipili sa administr2"
t1.29,"Ang bandila mahimong pula kung ang kantidad nga"" admin2 "" wala maglungtad sa administr2_ref."
t1.30,"Admin 2 ngalan uban sa luna ug punctuation gitugotan. Ang lista sa dropdown konektado sa kolum nga ""label"" sa administr2_ref."
t1.31,"Ngalan sa admin 2 walay luna ug walay punctuation, lamang underscores. Gikuha kini gikan sa admin2_ref ug auto nga gipuy-an base sa gipili sa administr2 nga gipili."
t1.33,"Pilia ang"" Oo "" kung gusto nimo tangtangon ang admin 3. Ang mga admin 3 kinahanglan lamang tangtangon kung ang ngalan sayup o kini usa ka duplicate sa usa ka naglungtad nga rekord. Palihug leave sa usa ka comment mahitungod sa hinungdan sa pagtangtang. Kung ang datos dili na nakolekta didto, pilia ang"" Dili ""gikan sa"" aktibo "" nga kolum."
t1.34,Latitude sa admin 3
t1.35,Longitude sa admin 3
t1.36,Susihon ang bandila kung ang pagdumala_id_1-4 wala maglungtad sa pagdumala_ref.
t1.37,"Ngalan SA pagdumala ID, nga adunay mga luna ug ang punctuation gitugotan. Kung adunay 4 nga mga lugar sa pagdumala sa sulud sa administr3, pilia ra ang una nga yunit sa pagdumala sa ""management_ID_1"", ang ikaduha nga yunit sa pagdumala sa ""management_ID_2"", ug uban pa. Ang lista sa dropdown konektado sa kolum nga ""pagdumala_id"" sa management_ref."
t1.38,Oo/Dili field nga nagpaila kon ang baryo mao ang responsable alang sa area management.
t1.40,"Ngalan sa pumapalit nga walay luna ug walay punctuation, lamang underscore"
t1.41,"Ang ngalan sa pumapalit nga adunay mga luna ug gitugot nga punctuation. Palihug ayaw usba ang label gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.42,"Gender (gender), m (lalake), f (babaye) o NB (nb)"
t1.43,"Talagsaon NGA NUMERO SA ID aron mahibal-an ang pumapalit. Palihug mobiya sa usa ka comment kon ang duha ka lain-laing mga pumapalit adunay sama nga ID. Pinaagi sa default, duha ka mga pumapalit nga adunay parehas nga eksaktong ngalan, bisan kung gikan sila sa duha ka lainlaing mga baryo, makadawat sa PAREHAS nga ID gawas kung gisultihan."
t1.44,"Admin 1 ngalan diin ang pumapalit gipalit gikan sa, uban sa luna ug punctuation gitugotan. Kini gikuha gikan sa admin1_ref ug auto nga gipuy-an base sa gipili nga administr3_ref_name."
t1.45,"Admin 2 ngalan diin ang pumapalit gipalit gikan sa, uban sa luna ug punctuation gitugotan. Gikuha kini gikan sa admin2_ref ug auto nga gipuy-an pinahiuyon sa gipili nga ngalan sa administr3_ref_name."
t1.46,"Admin 3 ngalan diin ang pumapalit gipalit gikan sa, uban sa luna ug punctuation gitugotan. Gikuha kini gikan sa admin3_ref ug auto nga gipuy-an pinahiuyon sa gipili nga ngalan sa administr3_ref_name."
t1.47,"Ang mga ngalan sa admin 2 ug admin 3 gihiusa nga wala 'y mga wanang ug wala' y punctuation, gihatagan ra og gibug-aton.Ang lista sa dropdown konektado sa kolum nga ""ngalan"" sa admin3_ref."
t1.48,"Ang bandila mahimong pula kung ang kantidad nga"" admin3_ref_name "" wala sa admin3_ref."
t1.49,"Pilia ang"" Oo "" kung ang datos nakolekta gikan sa kini nga indibidwal. Kung ang datos dili na nakolekta gikan sa kini nga indibidwal, ug gusto nimo nga itago kini gikan sa Kobo dropdown, pilia ang ""Dili.”"
t1.50,"Pilia ang"" Oo "" kung gusto nimo i-download ang programa. Ang mga pumapalit kinahanglan nga tangtangon lamang kung ang ngalan sayop o kini usa ka duplicate sa usa ka kasamtangan nga rekord. Palihug leave sa usa ka comment mahitungod sa hinungdan sa pagtangtang. Kung ang pumapalit wala na sa baryo o dili na mopalit, pilia ang"" Dili ""gikan sa"" aktibo "" nga kolum."
t1.52,"Ang ngalan sa mangingisda nga walay luna ug walay punctuation, lamang underscore"
t1.53,"Ang ngalan sa mangingisda nga adunay mga luna ug gitugot nga punctuation. Palihug ayaw usba ang label gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.54,"Gender: m (male), f (babaye) o NB (nb)"
t1.55,"Talagsaon NGA NUMERO SA ID aron mahibal-an ang mangingisda. Palihug leave sa usa ka comment kon ang duha ka lain-laing mga mangingisda adunay SAMA nga ID. Pinaagi sa default, duha ka mga mangingisda uban sa sama nga eksakto nga ngalan, bisan kon sila gikan sa duha ka lain-laing mga balangay, makadawat sa SAMA NGA ID gawas kon kon dili gisultihan."
t1.56,"Admin 1 ngalan diin ang mga mangingisda yuta sa ilang mga dakpon, uban sa mga luna ug punctuation gitugotan. Kini gikuha gikan sa admin1_ref ug auto nga gipuy-an base sa gipili nga administr3_ref_name."
t1.57,"Ngalan sa admin 2 diin ang mangingisda yuta sa ilang mga dakpon, uban sa luna ug punctuation gitugotan. Gikuha kini gikan sa admin2_ref ug auto nga gipuy-an pinahiuyon sa gipili nga ngalan sa administr3_ref_name."
t1.58,"Admin 3 ngalan diin ang mga mangingisda yuta sa ilang mga dakpon, uban sa mga luna ug punctuation gitugotan. Gikuha kini gikan sa admin3_ref ug auto nga gipuy-an pinahiuyon sa gipili nga ngalan sa administr3_ref_name."
t1.62,"Pilia ang"" Oo "" kung gusto nimo tangtangon ang admin 3. Ang mga admin 3 kinahanglan lamang tangtangon kung ang ngalan sayup o kini usa ka duplicate sa usa ka naglungtad nga rekord. Palihug leave sa usa ka comment mahitungod sa hinungdan sa pagtangtang. Kon ang mangingisda wala na sa baryo o wala na mangisda, pilia Ang"" Dili ""gikan sa"" aktibo "" nga kolum sa baylo."
t1.64,"Ngalan sa tigkolekta sa datos nga walay luna ug walay punctuation, lamang underscores"
t1.65,Ngalan sa tigkolekta sa datos nga adunay mga luna ug gitugot nga punctuation.
t1.66,"Gender sa data collector; m (lalake), f (babaye) o NB (nb)"
t1.69,"Pilia ang"" Oo "" kon gusto nimo nga ang data collector makita sa dropdown alang sa kobo landings monitoring form."
t1.70,"Pilia Ang ""Oo"" kung gusto nimo makita ang kolektor sa datos sa dropdown alang sa porma sa pag-profile Sa Kobo"
t1.71,"Pilia Ang ""Oo"" kung gusto nimo makita ang kolektor sa datos sa dropdown alang sa porma Sa survey Sa Kobo household"
t1.72,"Pilia Ang ""Oo"" kung gusto nimo makita ang data collector sa dropdown para sa kobo community profiling form"
t1.73,"Pilia ang"" Oo "" kung gusto nimo tangtangon ang data collector."
t1.75,"Ngalan sa pangisda wala 'y lugar ug wala' y punctuation, gipasiugda ra"
t1.76,"Ang ngalan sa yuta sa pangisda nga adunay mga luna ug gitugotan ang punctuation. Palihug ayaw usba ang label gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.81,Latitude sa pangisdaan
t1.82,Ang gitas-on sa salog sa pangisda
t1.83,"Pilia ang"" Oo "" kon ang yuta gigamit karon. Kung gusto nimo nga itago kini gikan sa Kobo dropdown o wala na kini gigamit, pilia ang ""Dili.”"
t1.84,"Pilia Ang ""Oo"" kung gusto nimo tangtangon ang yuta sa pangisda"
t1.85,"Lokal nga ngalan sa gear nga walay luna ug walay punctuation, lamang underscores"
t1.86,"Ang lokal nga ngalan sa gear nga adunay mga luna ug gitugot nga punctuation. Palihug ayaw usba ang label gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.87,"Iningles nga ngalan sa gear nga walay luna ug walay punctuation, lamang underscores. Kini usa ka predefined dropdown list. Palihug pagpili usa nga labing angay sa lokal nga gamit, o komento kung dili ka sigurado."
t1.88,Deskripsyon sa gear
t1.89,"Mga espisye mga target sa gear. Kung ang usa ka gear nag-target sa daghang mga espisye, paghimo usa ka bag-ong laray sa datos alang sa matag grupo sa species. Ang lista sa dropdown konektado sa kolum nga ""species_group"" sa species_ref."
t1.90,"Ang bandila mahimong pula kung ang gipili nga"" species_group "" wala maglungtad sa specie_ref."
t1.93,"Pilia ang"" Oo "" kung gusto nimo i-klik ang button. Palihug leave sa usa ka comment sa pagpatin-aw kon ngano."
t1.95,"Ngalan sa landing site nga walay luna ug walay punctuation, lamang underscores"
t1.96,Ang ngalan sa landing site nga adunay mga luna ug ang punctuation gitugotan
t1.99,"Pilia ang"" Oo "" kung gusto nimo tangtangon ang landing site."
t1.103,"Talagsaon nga ngalan sa lugar sa pagdumala nga adunay mga wanang ug gitugotan nga punctuation. Palihug ayaw usba ang ngalan gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.104,"Talagsaon nga ngalan sa lugar sa pagdumala ug petsa sa pagsira. Kini kinahanglan nga ang pagdumala_id nga walay mga luna o punctuation inubanan sa usa ka gidaghanon nga nagpaila sa talagsaon nga pagsira sa maong dapit. Pananglitan, kung ang Usa ka management_id nga gitawag Boston adunay duha ka mga petsa sa pagsira nga kauban niini, kami adunay duha nga gitudlo sa pagdumala_id_unique fields. Ang usa mahimong Boston_1 ug lain Nga Boston_2 aron mahibal-an ang mga pagsira sa sulud sa usa ka lugar sa pagdumala."
t1.105,Ang lista sa mga hinungdan sa pagpangisda nga may kalabutan sa petsa sa pagdumala ug pagsira.
t1.106,"Ang matang sa pamaagi sa pagdumala, lakip ang temporaryo nga pagsira, wala ' y mga zone sa pagkuha, ug uban pa. Kini mao ang usa ka predefined listahan. Palihug komentaryo kung dili ka sigurado."
t1.107,Target nga mga espisye alang sa gidumala nga lugar. Kini mahimong mga espisye o mga espisye. Umahan bukas.
t1.108,Target nga puy-anan alang sa gidumala nga lugar
t1.109,Gidak-on sa gidumala nga dapit gisukod sa hectares (ha)
t1.110,Pagsira sa gidumala nga lugar
t1.111,Petsa sa pag-abli sa gidumala nga lugar
t1.112,Latitude sa management area
t1.113,Ang longitude sa management area
t1.114,"Pilia ang"" Oo "" kung gusto nimo tangtangon ang id."
t1.116,"Ngalan sa kasosyo/organisasyon nga walay luna ug walay punctuation, lamang underscore"
t1.117,"Ngalan sa partner/organisasyon nga adunay mga luna ug gitugot nga punctuation. Palihug ayaw usba ang label gawas kung kinahanglan gyud, tungod kay gipasukad niini ang mga pag-apil."
t1.118,"Ang mga grupo sa mga species nga gikolekta sa kauban ang datos. Ang lista sa dropdown konektado sa kolum nga ""species_group"" sa species_ref. Pilia ang tanan nga mga grupo kung gusto nila ang tanan nga mga species sa species _ref aron magpakita."
t1.119,"Pilia ang"" Oo "" kon ang partner karon pagkolekta data. Kung gusto nimo nga itago kini gikan sa Kobo dropdown o wala na sila pagkolekta sa datos, pilia ang ""Dili.”"
t1.120,"Pilia Ang ""Oo"" kung gusto nimo tangtangon ang kauban/organisasyon"
t1.122,"Ang ngalan sa Partner nga walay luna o punctuation, nagpasiugda lamang. Ang mga dropdown sa Species gisala sa kauban. Ang pila ka mga nasud adunay daghang mga kauban nga nagbahin sa usa ka lista sa mga species. Sa kana nga kaso, makita nimo ang code sa nasud imbis nga kasosyo, ug ang tibuuk nga lista sa species ipakita alang sa matag kauban sa kana nga nasud, gawas kung ang pipila ka mga grupo sa species gipiho sa kolum nga ""species_group"" sa org_ref."
t1.123,Tipo sa puy-anan nga may kalabutan sa mga espisye
t1.124,"Ang lokal nga ngalan ug mga espisye nga ngalan gihiusa sa usa ka underscore, nga walay laing punctuation o luna."
t1.125,Mga ngalan sa species sa parentesis
t1.126,"Ang mga espisye giklasipikar ngadto sa mga grupo base sa ilang biology nga walay luna o punctuation, nagpasiugda lamang. Kini nga natad gigamit aron makatabang sa pagsala sa pipila ka mga kapilian sa tubag sa Kobo."
t1.127,"Ang bandila mahimong pula kung ang gipili nga"" species_group ""wala' y pakisayran sa gear_ref. Kana nagpasabut nga ang tanan nga mga gear nga gilista sa gear_ref makita alang sa kini nga grupo sa mga species. Aron lang ipakita ang mga gear nga nagpunting sa kini nga grupo sa species, palihug idugang ang grupo sa species sa gear_ref."
t1.128,Lokal nga mga espisye ngalan uban sa luna ug punctuation gitugotan
t1.129,"Ngalan sa administrasyon 2 walay luna o punctuation, lamang underscore. Ang lista sa dropdown konektado sa kolum nga ""ngalan"" sa administr2_ref. *Kini nga uma lamang ipakita alang sa mga kauban nga gusto sa mga espisye dropdown sinala sa admin 2 pinili.*"
t1.130,Kasagaran nga mga espisye sa ingles nga ngalan nga adunay mga luna ug ang punctuation gitugotan
t1.131,Ngalan sa pamilya sa usa ka espisye nga adunay mga luna ug punctuation nga gitugotan
t1.132,"Ang siyentipikong ngalan sa mga espisye nga adunay mga luna ug gitugot nga punctuation. Kung ang mga espisye wala mahibal - an, ang genus o pamilya mahimo usab nga makasulod. Kung ang genus ra ang nahibal-an, i-type ang ngalan sa henero nga gisundan sa ""sp"" (sukwahi sa ""spp"" o spp.”). Kung ang pamilya ra ang nahibal-an, i-type ang ngalan sa pamilya (ie Lutjanidae)."
t1.133,"Pilia ang"" Oo "" kung gusto nimo tangtangon ang mga espisye."
t1.134,"Ang paghubad sa ingles alang sa"" pagdugang bag-ong"","" wala mahibal-an"","" dili ibaligya"", ug uban pa."
t1.135,"Paghubad sa pinulongan sa nasud alang sa ""pagdugang bag-ong"", ""wala mahibal-an"", ""dili ibaligya"", ug uban pa."
t1.136,Ang pakisayran sheet ang paghubad nga gihiusa sa sa pagpakita sa mga angay nga dropdown sa Kobo
t1.138,"Ang ngalan sa Partner nga walay luna o punctuation, nagpasiugda lamang."
t1.139,Minimum nga presyo base sa specie_group
t1.140,Maximum nga presyo base sa specie_group
t1.141,"Mga espisye ang min / max nga pasidaan magamit. Aron makadugang usa ka bag-ong grupo, palihug komentaryo ug ipahibalo SA BFO."
t1.142,Ang habitat ang min / max nga pasidaan magamit.
t1.143,Presyo kada kg o presyo kada indibidwal (species gibug-aton ug gitas-on sa mga pasidaan nga gipatuman sa likod katapusan pinaagi sa data gikan sa literatura)
faq,Kanunay Nga Gipangutana Nga Mga Pangutana:
q1,"Unsa ka dugay ang pag-download sa usa ka bag-ong admin 1, unsa ka dugay kini moabut sa wala pa kini makita sa dropdown alang sa admin 2?"
a1,"Gikinahanglan ang 15 minuto sa wala pa magamit ang mga bag-ong entry sa mga dinamikong dropdown. Nalakip kini sa administr2 dropdown sa admin3_ref, ang species_group dropdown sa gear_ref, ang administr3 dropdown sa buyer_ref, fisher_ref, data_collector, ug uban pa. Tan-awa Ang Figure 5 alang sa bug-os nga lista sa mga dinamikong dropdown ug ang ilang agianan sa trabaho pinaagi sa mga file sa pakisayran."
q2,"Sa higayon nga ako makadugang o update sa usa ka pakisayran file, unsa ka dugay kini kuhaon sa atubangan sa mga updates makita diha sa Kobo survey?"
a2,Kinahanglan nimo nga makita ang usa ka gi-update nga kobo form sa gibana-bana nga 12-24 ka oras.
q3,"Giunsa ang pagrekord sa mga ngalan sa mga pumapalit, mangingisda ug mga tigkolekta sa datos?"
a3,"Sa minithi, mga ngalan kinahanglan nga ingon sa talagsaon nga kutob sa mahimo ngadto sa mga indibidwal ug naglakip sa ilang unang ngalan, katapusan nga ngalan ug angga. Kung ang usa ka tawo dili gusto nga ipaambit ang ilang tibuuk nga ngalan mahimo usab nimo gamiton ang una o una nga letra sa ilang katapusan nga ngalan."
fig5,Dinamikong dropdown nga koneksyon tali sa mga file sa pakisayran.
